driver_id,car_model,car_manufacture_year,days_since_inspection,age,experience,second_language,rating,net_worth_of_tips,number_of_rejected_rides,number_of_upvotes,number_of_complaints,number_of_incidents,driver_class
2150,Honda Accord,2007,230,47.0,10,no,4.92,783.48,2,35,2,0,A class
804,Kia Optima,2007,349,56.0,3,Russian,4.5,789.71,4,39,2,0,A class
2055,Hyundai Sonata,2014,43,55.0,17,Mandarin,4.5,545.72,3,28,1,0,A class
1993,Chevrolet Malibu,2015,723,52.0,15,Portuguese,3.84,302.76,3,20,1,0,B class
319,Nissan Altima,2010,149,33.0,13,no,5.0,1217.03,3,41,0,0,A class
1165,Ford Fusion,2015,436,36.0,16,no,4.4,607.22,1,28,2,1,B class
540,Ford Fusion,2017,96,54.0,4,Mandarin,3.67,279.72,3,17,1,1,B class
119,Ford Fusion,2008,699,66.0,0,Mandarin,4.03,513.66,2,25,3,0,B class
362,Honda Accord,2009,163,37.0,17,Spanish,4.89,1129.77,3,46,2,0,A class
880,Hyundai Sonata,2022,188,34.0,8,Spanish,5.0,1021.74,3,39,1,0,A class
2947,Honda Accord,2005,424,56.0,17,Mandarin,4.21,739.52,3,34,3,0,B class
1648,Kia Optima,2015,790,50.0,17,no,4.59,953.15,5,25,1,0,A class
820,Hyundai Sonata,2012,334,52.0,1,French,5.0,1116.23,1,42,1,0,A class
2295,Chevrolet Malibu,2016,214,37.0,17,Arabic,5.0,855.58,3,38,0,0,A class
593,Hyundai Sonata,2019,109,,3,no,4.18,587.9,3,26,0,0,B class
2552,Chevrolet Malibu,2020,778,27.0,7,Spanish,4.08,569.46,4,22,1,0,B class
929,Nissan Altima,2010,841,35.0,0,no,4.71,897.93,2,26,0,0,A class
2386,Ford Fusion,2020,726,57.0,4,Mandarin,3.7,246.49,1,12,2,0,B class
2975,Kia Optima,2010,195,31.0,11,no,4.49,482.38,5,24,2,0,B class
420,Toyota Camry,2012,723,28.0,1,Spanish,4.43,686.33,3,17,0,0,A class
469,Hyundai Sonata,2013,322,54.0,1,no,3.84,122.72,5,10,0,1,B class
434,Kia Optima,2010,406,,4,no,5.0,1014.29,1,60,2,0,A class
2958,Honda Accord,2021,187,31.0,11,no,4.19,653.18,3,15,1,1,B class
659,Toyota Camry,2010,844,56.0,14,Portuguese,4.4,557.21,5,19,2,1,B class
297,Toyota Camry,2018,629,58.0,17,no,4.48,669.8,1,16,1,0,A class
728,Toyota Camry,2020,461,,18,no,3.61,384.94,6,6,5,1,B class
421,Chevrolet Malibu,2014,146,25.0,0,no,4.3,617.25,2,29,3,1,A class
1760,Nissan Altima,2017,396,34.0,4,no,4.29,593.08,2,24,2,0,B class
2806,Chevrolet Malibu,2013,403,29.0,9,no,3.79,485.18,8,33,3,3,B class
2454,Toyota Camry,2014,320,27.0,7,French,4.18,483.68,2,21,2,1,B class
315,Chevrolet Malibu,2009,554,25.0,5,no,3.85,410.76,4,17,1,0,B class
187,Ford Fusion,2011,805,30.0,10,French,5.0,1004.12,3,43,0,0,A class
1496,Hyundai Sonata,2014,444,54.0,3,no,4.37,603.82,2,21,1,0,B class
1599,Nissan Altima,2014,897,,12,no,4.09,368.58,9,28,2,1,B class
2851,Ford Fusion,2008,13,47.0,16,Portuguese,3.69,287.13,8,6,0,1,B class
1990,Nissan Altima,2014,369,66.0,0,no,3.73,300.68,2,11,0,0,B class
430,Kia Optima,2014,397,65.0,19,no,4.66,802.6,1,38,0,0,A class
533,Chevrolet Malibu,2015,858,54.0,14,no,3.93,75.47,4,20,2,0,B class
738,Honda Accord,2013,361,41.0,17,no,4.51,712.69,1,33,0,0,A class
1464,Nissan Altima,2008,744,30.0,10,no,4.83,1033.94,1,29,0,0,A class
2315,Kia Optima,2017,141,54.0,14,Spanish,4.3,615.47,2,21,0,0,B class
805,Toyota Camry,2007,711,31.0,5,Spanish,4.22,272.53,9,20,0,3,B class
2468,Hyundai Sonata,2008,121,64.0,13,French,4.58,650.33,3,24,1,0,A class
730,Chevrolet Malibu,2009,824,,14,no,4.64,815.69,3,36,2,0,A class
1206,Chevrolet Malibu,2009,14,26.0,6,no,4.18,661.79,8,29,5,0,B class
1668,Kia Optima,2007,728,38.0,17,no,4.88,1024.02,1,50,0,0,A class
1612,Hyundai Sonata,2007,18,65.0,22,Mandarin,4.41,721.21,2,21,1,0,B class
1099,Hyundai Sonata,2016,89,57.0,23,no,4.36,642.11,2,50,0,1,A class
173,Ford Fusion,2012,389,25.0,5,Spanish,4.27,517.75,0,34,4,1,A class
2109,Kia Optima,2011,238,22.0,2,no,3.82,415.82,2,16,1,1,B class
638,Hyundai Sonata,2022,716,45.0,14,no,4.73,842.69,0,28,2,0,A class
1078,Chevrolet Malibu,2021,474,27.0,7,no,4.25,717.78,1,28,0,0,B class
2145,Honda Accord,2008,295,45.0,5,no,3.98,501.13,8,15,1,0,B class
1911,Hyundai Sonata,2013,122,25.0,5,no,4.08,199.11,8,17,1,2,B class
2816,Toyota Camry,2016,641,33.0,13,Mandarin,4.51,800.86,5,16,1,1,A class
771,Toyota Camry,2012,88,25.0,5,French,4.1,521.02,5,27,2,0,B class
1164,Hyundai Sonata,2022,729,36.0,16,French,3.69,123.37,4,12,2,0,B class
357,Toyota Camry,2006,370,25.0,5,no,4.5,820.38,0,47,1,1,A class
1055,Chevrolet Malibu,2005,595,65.0,9,no,4.4,868.32,4,41,3,0,B class
1542,Chevrolet Malibu,2013,724,46.0,9,no,4.72,894.14,0,32,2,2,A class
2566,Chevrolet Malibu,2010,810,60.0,15,no,4.03,384.1,3,14,1,0,B class
191,Hyundai Sonata,2008,140,34.0,13,no,5.0,1269.48,2,72,0,0,A class
2354,Toyota Camry,2008,220,,2,Mandarin,4.87,1072.82,0,48,0,0,A class
984,Honda Accord,2011,406,26.0,6,no,4.01,588.96,2,33,2,1,B class
721,Kia Optima,2013,773,67.0,13,no,4.95,926.93,2,56,1,2,A class
2903,Ford Fusion,2015,715,35.0,15,no,4.11,643.76,3,41,2,0,B class
2838,Hyundai Sonata,2006,237,55.0,9,Portuguese,4.14,658.95,3,20,1,0,B class
1548,Ford Fusion,2017,233,26.0,0,no,3.79,347.81,5,21,1,0,B class
562,Hyundai Sonata,2016,666,47.0,12,no,4.92,982.91,1,48,0,1,A class
3,Kia Optima,2011,264,22.0,2,Arabic,4.19,635.68,3,16,1,0,B class
279,Honda Accord,2005,333,57.0,12,Russian,4.83,864.79,6,24,2,0,A class
2592,Ford Fusion,2020,353,,19,Portuguese,4.81,1084.25,3,41,0,2,A class
856,Nissan Altima,2016,865,52.0,16,Portuguese,5.0,707.35,1,38,0,0,A class
563,Kia Optima,2015,636,31.0,0,no,4.28,737.43,4,19,2,1,B class
786,Honda Accord,2019,143,67.0,6,no,3.83,410.69,3,21,3,0,B class
2593,Nissan Altima,2010,49,27.0,7,Spanish,4.97,1055.28,1,77,1,0,A class
1735,Chevrolet Malibu,2009,329,52.0,0,Portuguese,4.17,733.71,4,24,0,2,B class
2188,Hyundai Sonata,2006,166,30.0,7,Spanish,4.62,701.67,1,47,1,0,A class
733,Chevrolet Malibu,2005,504,36.0,8,no,4.44,722.6,8,20,1,0,B class
1807,Ford Fusion,2009,509,55.0,0,no,4.0,482.07,3,19,3,0,B class
1706,Honda Accord,2011,286,59.0,14,no,4.09,381.2,5,18,1,0,B class
416,Nissan Altima,2017,213,23.0,3,Russian,4.23,570.48,5,27,5,0,B class
2410,Honda Accord,2012,608,,0,no,4.0,474.95,1,18,1,0,B class
1352,Honda Accord,2017,815,43.0,5,no,4.8,846.02,3,35,0,0,A class
2135,Nissan Altima,2007,50,30.0,10,no,4.61,763.08,3,26,0,0,A class
527,Nissan Altima,2012,642,66.0,7,no,3.11,0.0,8,2,0,1,B class
1565,Honda Accord,2022,248,21.0,1,no,4.53,819.93,2,32,5,0,B class
1230,Kia Optima,2007,898,51.0,10,Portuguese,4.64,970.01,1,39,0,2,A class
457,Ford Fusion,2017,838,40.0,15,French,4.69,950.28,1,42,2,0,A class
2913,Hyundai Sonata,2011,711,35.0,4,no,4.06,341.45,5,31,5,1,B class
126,Honda Accord,2013,280,45.0,1,no,3.64,285.87,3,18,3,2,B class
2236,Hyundai Sonata,2012,421,37.0,6,Mandarin,4.85,730.26,2,59,0,0,A class
537,Kia Optima,2010,134,62.0,6,Mandarin,4.19,567.54,4,23,1,1,B class
181,Hyundai Sonata,2011,692,45.0,16,no,4.89,824.9,4,40,1,1,A class
1544,Chevrolet Malibu,2013,504,55.0,16,Spanish,5.0,1360.19,1,32,1,0,A class
774,Kia Optima,2017,734,31.0,11,no,4.32,795.69,3,19,0,1,B class
588,Kia Optima,2013,511,57.0,7,Spanish,5.0,858.62,2,38,0,0,A class
644,Ford Fusion,2018,468,59.0,14,no,4.27,678.6,6,23,3,1,B class
2621,Kia Optima,2014,394,26.0,3,no,4.17,621.51,2,15,1,0,B class
2337,Chevrolet Malibu,2018,97,63.0,17,no,4.77,868.46,4,23,1,1,A class
1733,Hyundai Sonata,2010,718,47.0,9,no,4.68,1042.45,4,33,0,0,A class
872,Hyundai Sonata,2021,580,39.0,19,no,4.05,416.09,5,19,2,0,B class
2088,Hyundai Sonata,2021,793,49.0,19,no,4.34,556.76,2,37,1,0,B class
2563,Ford Fusion,2007,225,52.0,24,Mandarin,4.25,375.73,1,33,2,0,B class
2813,Toyota Camry,2009,306,55.0,11,no,4.33,467.19,4,41,3,1,B class
376,Toyota Camry,2005,764,41.0,5,Arabic,4.6,983.59,3,27,0,1,A class
387,Honda Accord,2005,707,55.0,10,Arabic,4.56,725.98,6,32,1,0,A class
1531,Nissan Altima,2009,167,46.0,5,no,4.83,780.49,1,39,0,1,A class
2866,Ford Fusion,2008,143,36.0,1,no,4.19,646.77,2,8,1,0,B class
1074,Kia Optima,2019,695,30.0,10,Portuguese,4.6,590.67,1,15,1,0,B class
2800,Chevrolet Malibu,2007,729,26.0,6,Spanish,4.44,611.54,3,30,1,1,A class
1449,Ford Fusion,2008,261,45.0,17,Russian,4.38,507.31,4,24,3,2,B class
152,Hyundai Sonata,2008,710,23.0,3,no,4.03,392.82,4,16,4,1,B class
934,Hyundai Sonata,2011,122,55.0,23,Portuguese,4.48,833.12,6,27,0,1,A class
1039,Honda Accord,2015,834,,8,no,4.76,1056.97,3,15,0,1,A class
424,Chevrolet Malibu,2009,394,64.0,13,Arabic,4.3,516.5,2,17,0,0,B class
1741,Kia Optima,2021,12,,9,Mandarin,4.45,499.92,5,24,2,2,A class
2154,Honda Accord,2018,588,65.0,2,Spanish,4.51,600.47,6,33,2,1,A class
475,Hyundai Sonata,2014,299,48.0,13,Mandarin,4.13,305.58,2,11,2,2,B class
1211,Kia Optima,2021,213,29.0,9,Russian,4.34,736.15,3,27,0,1,B class
341,Honda Accord,2005,372,22.0,2,no,3.76,512.36,6,17,5,1,B class
1671,Toyota Camry,2022,312,62.0,12,no,4.9,1184.95,1,38,0,0,A class
2308,Toyota Camry,2006,773,55.0,14,Arabic,4.7,877.92,3,36,1,0,A class
2206,Chevrolet Malibu,2018,630,60.0,14,no,4.58,637.33,0,40,0,0,A class
1378,Chevrolet Malibu,2007,294,59.0,19,no,5.0,1355.4,2,39,0,0,A class
143,Honda Accord,2013,478,37.0,13,no,4.36,574.29,1,26,0,0,A class
1160,Nissan Altima,2014,304,47.0,9,no,5.0,1103.31,2,24,0,0,A class
1460,Honda Accord,2016,881,51.0,10,no,4.61,676.07,6,31,1,1,A class
100,Chevrolet Malibu,2007,677,25.0,5,no,4.1,460.05,4,19,3,1,B class
427,Nissan Altima,2013,523,61.0,21,no,4.3,647.12,1,26,4,0,A class
1484,Nissan Altima,2015,686,67.0,18,Mandarin,4.92,847.4,2,32,1,0,A class
1814,Toyota Camry,2008,791,63.0,13,no,4.5,391.77,4,16,1,0,B class
2716,Toyota Camry,2015,703,60.0,11,Spanish,3.83,201.13,3,21,3,1,B class
735,Hyundai Sonata,2006,604,46.0,6,Mandarin,4.21,731.78,3,23,2,1,B class
803,Nissan Altima,2017,117,28.0,8,no,3.77,549.31,5,22,3,1,B class
2461,Nissan Altima,2018,404,57.0,19,no,4.79,654.85,4,35,3,0,A class
2824,Chevrolet Malibu,2007,311,24.0,4,Arabic,4.17,660.33,5,23,2,2,B class
2962,Kia Optima,2015,7,52.0,18,no,5.0,1171.57,0,69,0,0,A class
808,Ford Fusion,2015,341,29.0,9,Portuguese,4.16,425.86,4,33,0,0,B class
2269,Honda Accord,2017,583,53.0,3,Russian,4.29,308.69,3,20,3,0,B class
753,Ford Fusion,2007,138,61.0,10,Portuguese,5.0,1190.86,0,56,0,0,A class
455,Honda Accord,2017,671,47.0,8,no,4.89,977.99,2,35,0,1,A class
833,Nissan Altima,2007,438,58.0,19,Spanish,5.0,1156.74,1,36,0,0,A class
37,Kia Optima,2011,723,23.0,3,Russian,4.37,516.21,1,25,2,0,B class
1745,Nissan Altima,2017,860,46.0,5,Arabic,4.2,473.59,2,22,0,1,B class
1828,Honda Accord,2019,590,40.0,13,Spanish,3.77,191.43,3,10,1,0,B class
1071,Toyota Camry,2014,897,32.0,11,no,4.63,727.15,1,38,3,1,A class
306,Toyota Camry,2020,115,50.0,2,no,4.68,887.49,3,61,2,1,A class
2120,Honda Accord,2011,530,57.0,9,Spanish,4.25,610.42,2,25,1,1,B class
1145,Chevrolet Malibu,2005,281,39.0,12,no,4.56,753.9,2,56,2,1,A class
747,Nissan Altima,2006,833,65.0,11,Spanish,5.0,1160.39,1,53,1,0,A class
1692,Toyota Camry,2008,401,26.0,6,Arabic,4.59,786.68,2,32,2,1,A class
2075,Chevrolet Malibu,2013,176,33.0,1,Spanish,5.0,1132.96,1,45,1,0,A class
1633,Kia Optima,2019,98,47.0,3,no,4.69,852.54,0,39,0,1,A class
2894,Kia Optima,2015,857,63.0,24,no,3.84,471.29,5,30,2,3,B class
