courier_id,city,vehicle_type,vehicle_age_years,days_since_service,age,tenure_days,rating,total_earnings,number_of_orders,number_of_five_star_orders,on_time_rate,number_of_cancellations,number_of_complaints,avg_delivery_minutes,courier_tier
6480,Denver,Walking,10,583,22,1356,4.3,15644.99,28,8,0.7727,3,6,32.8,Standard
7131,Chicago,Car,10,346,60,35,4.1,6670.7,22,5,0.8125,4,0,36.86,Standard
5981,Denver,Scooter,3,520,18,1711,4.3,14536.14,24,4,0.5556,2,4,,Standard
6510,Denver,Car,9,391,42,1581,4.22,14576.75,33,9,0.8,7,1,35.26,Standard
6485,Denver,Car,2,394,19,1637,5.0,21247.67,26,21,1.0,1,1,26.98,Gold
7196,Austin,Scooter,4,103,34,1046,4.93,16889.81,24,16,0.9565,1,1,29.31,Gold
5937,Seattle,E-bike,8,317,60,393,4.81,11767.88,31,18,0.7778,2,0,30.48,Gold
7074,Denver,Walking,10,229,21,1306,4.92,21637.4,23,17,1.0,1,1,25.7,Gold
6500,Austin,Bicycle,6,435,19,501,4.16,9732.53,26,6,0.7895,7,2,34.42,Standard
5388,Boston,Car,7,248,31,1290,3.72,11302.99,33,3,0.64,4,3,37.4,Standard
5164,Boston,E-bike,8,67,21,468,4.68,11960.68,36,17,0.8387,2,2,29.5,Gold
7056,Chicago,Scooter,7,169,47,414,4.29,9048.44,31,5,0.76,4,2,34.55,Standard
5794,Chicago,E-bike,10,375,35,965,4.25,14931.36,32,11,0.8148,2,4,32.04,Standard
6160,Seattle,Car,4,512,29,107,4.52,12226.62,32,13,0.9655,2,1,31.84,Gold
7142,Austin,Bicycle,8,338,54,147,4.31,9524.0,30,8,0.8696,4,3,35.13,Standard
7059,Austin,Scooter,6,252,46,602,3.99,10882.59,26,4,0.85,3,3,37.23,Standard
7020,Chicago,Car,8,500,53,768,4.35,11178.2,38,6,0.7586,7,2,34.32,Standard
7032,Chicago,Scooter,6,648,49,1701,4.77,19080.51,38,20,0.9677,4,1,29.15,Gold
6657,Denver,Walking,7,576,39,1248,4.32,13194.26,26,5,0.7059,7,1,38.14,Standard
5608,Seattle,Scooter,7,399,22,1424,4.78,19882.01,19,14,1.0,0,0,,Gold
6559,Denver,E-bike,11,398,42,859,5.0,20495.06,26,24,0.96,0,3,30.85,Gold
6867,Boston,Car,4,564,44,1318,4.86,19030.48,25,19,1.0,3,0,24.52,Gold
6280,Denver,Car,4,625,30,610,4.34,13680.18,23,11,0.9524,2,2,31.31,Gold
7140,Boston,Walking,8,129,57,1581,4.31,16216.29,25,4,0.7391,1,4,34.44,Standard
5248,Denver,Car,9,36,61,165,4.06,10243.33,36,14,0.75,3,3,,Standard
5928,Chicago,Car,9,334,42,54,4.69,12010.15,23,11,0.9,3,1,,Gold
7357,Denver,Walking,3,5,51,1372,3.92,14352.5,29,3,0.5263,6,1,37.12,Standard
5433,Seattle,Bicycle,6,140,39,312,4.49,12264.95,37,14,0.8788,3,2,33.55,Standard
5820,Seattle,Scooter,1,230,34,234,4.38,7453.88,34,9,0.6452,1,4,33.57,Standard
6376,Seattle,Car,5,127,43,464,5.0,15546.68,32,15,1.0,4,0,30.17,Gold
7099,Denver,E-bike,11,444,28,1084,3.82,9592.15,28,2,0.6923,7,1,40.83,Standard
6605,Seattle,Car,2,295,34,454,4.63,13027.91,29,10,0.913,3,3,,Gold
5024,Seattle,Car,12,48,26,1274,3.89,12346.55,25,4,0.65,4,1,36.74,Standard
6667,Austin,E-bike,1,226,34,46,3.82,7421.7,19,1,0.6923,5,0,35.4,Standard
5736,Chicago,Bicycle,5,642,57,1165,4.36,15737.33,29,7,0.8636,4,2,29.29,Gold
7021,Chicago,E-bike,9,388,41,551,4.39,10651.56,26,6,0.8182,3,1,34.16,Standard
7206,Austin,E-bike,7,460,38,983,4.6,13881.94,26,5,0.8421,1,2,33.56,Standard
5193,Austin,Car,2,281,62,985,4.94,17721.52,28,23,0.9583,2,0,27.92,Gold
5501,Seattle,E-bike,8,426,28,1512,3.95,11879.8,20,3,0.6842,0,1,38.46,Standard
6257,Boston,Bicycle,4,234,24,1776,4.48,18745.73,27,13,0.7917,1,4,32.6,Standard
6750,Chicago,Bicycle,6,534,40,378,4.74,13296.41,37,22,0.9412,3,2,30.13,Gold
7384,Austin,Walking,4,149,52,126,4.3,10068.2,26,7,0.6842,4,1,34.42,Standard
7139,Austin,Car,5,684,56,1437,4.84,15880.96,32,16,0.8667,2,2,30.08,Gold
7476,Chicago,E-bike,2,490,27,503,4.17,12292.63,25,6,0.875,5,1,34.36,Standard
5859,Boston,E-bike,7,416,55,1271,4.78,16817.29,21,13,0.9474,0,1,28.69,Gold
5949,Austin,Walking,3,152,37,328,3.71,7748.92,30,6,0.8421,9,0,37.96,Standard
5700,Denver,Bicycle,4,6,29,1073,4.2,11897.9,32,4,0.8696,5,2,32.9,Standard
6833,Boston,Car,7,494,21,1143,4.37,15972.83,20,10,0.8421,1,1,32.2,Gold
5166,Seattle,E-bike,11,690,61,1579,4.73,16990.93,37,18,0.75,7,4,32.26,Gold
5449,Seattle,Walking,4,138,62,244,4.77,11541.8,22,10,0.8571,0,2,29.54,Gold
5777,Denver,Car,3,343,54,505,4.13,10946.12,38,10,0.8621,7,4,,Standard
6301,Seattle,E-bike,8,240,62,807,3.67,11759.96,36,4,0.8077,7,2,32.22,Standard
5553,Seattle,E-bike,3,489,55,594,3.78,7146.22,31,1,0.4583,3,3,38.24,Standard
7022,Boston,Car,11,32,25,466,4.76,16603.9,19,11,1.0,0,0,,Gold
6767,Boston,Car,5,254,40,1525,4.06,13974.75,34,3,0.7917,5,4,36.5,Standard
5324,Seattle,Car,5,166,38,1601,4.8,19189.07,24,8,0.9524,2,1,29.66,Gold
6578,Austin,E-bike,10,273,63,854,4.41,13229.22,25,6,0.7143,1,5,33.15,Standard
7183,Austin,Scooter,8,645,40,49,4.66,12973.97,29,13,0.8929,1,0,29.93,Gold
5276,Seattle,E-bike,9,535,45,567,3.93,6653.14,29,0,0.6087,3,0,40.9,Standard
7207,Austin,E-bike,11,657,56,498,4.01,8324.43,32,7,0.7727,4,5,39.85,Standard
6040,Boston,Car,7,680,58,1128,3.49,9785.32,31,0,0.4091,5,1,38.7,Standard
6989,Boston,Bicycle,7,322,33,1706,3.89,15396.95,21,6,0.6471,3,2,34.29,Standard
5773,Austin,Scooter,4,633,51,636,4.99,14362.95,27,16,0.9565,4,0,28.96,Gold
5096,Denver,E-bike,1,60,46,1302,4.71,15573.84,27,11,0.7727,3,3,31.57,Gold
6419,Denver,Car,12,523,49,1634,4.49,16502.68,27,13,0.7083,3,2,33.76,Gold
7329,Boston,Bicycle,6,234,18,618,3.77,7105.84,36,3,0.5357,6,1,41.82,Standard
6981,Denver,E-bike,2,30,36,821,4.33,15080.37,25,8,0.8095,4,2,28.61,Standard
5232,Austin,Walking,3,521,18,1148,4.44,17485.49,34,22,0.9,2,2,30.01,Gold
5605,Austin,Car,9,123,29,334,4.59,12254.09,23,10,0.95,2,0,30.94,Gold
5080,Chicago,E-bike,8,191,27,819,4.32,14185.76,25,9,0.5556,6,0,29.42,Standard
6727,Chicago,Car,5,580,37,110,4.43,6990.24,31,5,0.6522,4,2,36.99,Standard
5975,Chicago,Car,12,366,39,1498,4.56,16708.38,31,11,0.7586,1,1,32.7,Standard
5369,Chicago,Scooter,8,24,22,1491,4.26,15480.92,36,13,0.6875,3,4,31.95,Standard
6913,Seattle,Scooter,3,316,53,116,4.39,8448.0,25,4,0.7895,5,2,36.9,Standard
7191,Chicago,E-bike,12,245,26,845,3.99,13097.94,25,6,0.8261,1,3,32.22,Standard
6620,Boston,E-bike,1,309,36,1238,4.2,15601.2,20,6,1.0,1,0,31.88,Standard
6756,Chicago,Car,2,687,59,735,4.0,8852.62,40,2,0.5667,4,1,36.94,Standard
5855,Denver,Bicycle,3,101,18,885,4.69,18075.39,32,22,0.9032,1,3,28.15,Gold
7315,Austin,Car,7,548,35,666,4.41,11788.82,22,4,0.8421,2,1,33.77,Gold
6914,Denver,Car,12,76,31,987,4.76,19196.58,23,12,1.0,1,0,29.2,Gold
6471,Seattle,Scooter,5,584,37,765,4.51,16712.49,34,16,0.931,5,0,,Gold
5494,Boston,Scooter,2,316,49,443,4.06,11457.93,23,7,0.7222,3,2,29.89,Standard
6760,Chicago,Bicycle,4,132,60,1294,4.38,16234.97,39,22,0.8438,4,1,,Gold
5077,Seattle,Walking,8,564,29,382,4.57,13497.35,33,10,0.8182,8,2,32.37,Gold
6600,Boston,Scooter,8,451,47,307,4.31,9553.37,21,5,0.7333,4,5,34.3,Standard
7047,Seattle,Car,11,590,26,837,4.43,16466.52,29,16,1.0,2,3,29.77,Gold
6785,Boston,E-bike,6,342,30,34,4.42,13217.54,28,14,0.92,2,0,29.45,Gold
6236,Denver,E-bike,8,266,39,567,4.56,12703.21,38,10,0.7097,6,1,32.9,Standard
5862,Denver,Scooter,10,173,53,1429,4.27,11607.04,36,6,0.7333,4,3,35.96,Standard
5097,Seattle,Car,9,657,31,865,4.1,10892.91,30,4,0.5789,6,0,35.59,Standard
6716,Denver,Bicycle,6,566,52,1019,3.92,11603.14,25,5,0.6818,2,4,34.62,Standard
5557,Austin,Car,7,652,44,523,4.64,13901.08,35,14,0.8667,1,1,30.91,Gold
5184,Chicago,Scooter,11,73,21,1474,4.36,17175.16,24,11,0.9524,2,1,32.22,Standard
6546,Seattle,Car,6,286,55,1717,4.46,18270.15,29,13,0.8889,0,0,33.17,Gold
7447,Denver,Bicycle,4,699,56,1460,4.72,16259.04,34,11,0.8214,2,5,,Standard
7176,Boston,Bicycle,12,343,43,815,4.66,17138.46,26,22,0.8696,1,1,24.62,Gold
7148,Boston,Bicycle,12,20,59,799,4.27,13935.65,26,9,0.9565,2,3,35.06,Standard
6818,Chicago,Bicycle,5,500,52,541,4.71,17835.06,33,27,1.0,1,0,25.34,Gold
6470,Denver,Car,3,92,51,766,4.33,13075.09,31,6,0.7692,4,1,34.77,Standard
7067,Boston,Car,6,395,31,1763,3.85,15261.79,28,3,0.6667,3,2,35.26,Standard
5579,Austin,Car,9,241,48,741,4.79,16002.43,27,17,0.9167,1,0,31.45,Gold
7417,Seattle,Scooter,12,499,62,220,4.07,7351.05,31,3,0.5769,3,2,37.54,Standard
5616,Austin,Car,9,162,33,367,4.05,7735.26,29,7,0.8,6,0,35.66,Standard
6556,Austin,Car,2,204,26,751,4.83,16559.37,24,13,1.0,1,1,29.52,Gold
5482,Chicago,Bicycle,11,656,40,1239,4.05,12229.61,20,2,0.4167,6,1,36.91,Standard
6371,Austin,Bicycle,6,27,25,248,4.15,11835.2,21,8,0.7222,2,3,30.02,Standard
6627,Boston,Bicycle,12,557,19,1390,4.46,15354.24,30,16,0.8148,2,0,34.34,Gold
5570,Chicago,Car,10,626,50,1358,3.97,13162.07,27,7,0.75,3,1,36.97,Standard
6465,Chicago,Car,11,163,49,102,4.11,8844.48,20,7,0.5,3,2,35.0,Standard
7006,Denver,Scooter,11,600,36,1082,4.27,14877.59,30,14,0.7778,3,5,32.77,Gold
5342,Denver,Scooter,2,309,49,551,3.88,9516.93,33,6,0.7857,1,8,34.95,Standard
7434,Denver,Car,9,194,18,708,4.52,15196.17,23,12,0.7368,1,3,28.42,Gold
6537,Boston,Scooter,1,609,46,88,4.14,8732.5,34,5,0.6957,6,3,35.73,Standard
5432,Austin,E-bike,12,523,63,1730,5.0,21615.67,29,25,0.963,2,0,27.39,Gold
5455,Chicago,Bicycle,1,507,19,1169,4.13,12222.96,24,2,0.5,7,0,35.09,Standard
5189,Boston,Scooter,4,206,40,1064,4.26,16050.87,22,8,0.8947,2,1,33.2,Standard
5735,Austin,E-bike,1,682,60,321,4.6,12654.77,26,10,0.7826,2,0,34.26,Standard
5737,Seattle,Scooter,9,652,58,362,4.27,12258.95,34,16,0.9643,6,1,31.31,Gold
6581,Boston,Car,12,352,61,237,4.45,10177.05,27,13,0.913,3,1,33.35,Standard
7267,Denver,E-bike,5,688,41,854,4.15,11762.73,24,4,0.5263,3,2,34.53,Standard
6639,Chicago,Scooter,1,353,31,656,4.02,13069.23,28,7,0.7143,5,2,,Standard
6746,Denver,Scooter,1,581,39,458,4.27,13038.37,27,16,0.9091,4,2,29.01,Gold
6096,Seattle,Scooter,5,674,32,1399,4.0,14053.4,31,7,0.75,4,6,36.88,Standard
7000,Seattle,Scooter,9,586,49,496,3.76,8066.02,27,4,0.6364,4,4,36.0,Standard
6719,Denver,Scooter,2,562,50,983,4.1,13252.24,36,13,0.8276,5,5,34.07,Standard
6205,Boston,Scooter,8,184,56,1730,4.78,21021.1,20,13,0.9444,1,1,32.03,Gold
5012,Chicago,Car,12,678,50,1719,4.97,20300.12,27,19,1.0,2,0,27.64,Gold
6281,Boston,Scooter,11,503,21,1207,4.06,11642.47,23,3,0.7222,3,0,35.34,Standard
5268,Seattle,E-bike,4,440,57,1480,3.93,13208.08,20,6,0.7857,3,1,37.71,Standard
6734,Austin,Walking,8,76,43,785,3.83,13280.25,26,7,0.6667,2,1,32.31,Standard
5472,Austin,Car,3,226,27,711,5.0,17526.68,24,18,1.0,0,1,25.44,Gold
5785,Austin,Bicycle,10,370,63,1607,4.51,16394.91,30,11,0.9524,6,1,29.68,Standard
7161,Denver,Bicycle,2,576,18,1602,5.0,20756.55,29,22,0.96,3,1,28.35,Gold
6317,Denver,Scooter,11,544,59,115,4.12,9422.59,19,3,0.6154,4,0,32.8,Standard
5239,Seattle,E-bike,12,334,54,258,4.51,14069.34,26,10,0.8571,4,0,29.3,Gold
7367,Austin,Car,5,82,45,1077,4.02,10281.5,24,4,0.7059,5,1,37.81,Standard
7320,Austin,Bicycle,4,607,53,1021,3.71,8910.74,30,3,0.7273,2,1,40.93,Standard
5754,Austin,Bicycle,3,3,39,1438,4.25,17420.34,31,13,0.963,1,2,32.84,Gold
6309,Seattle,E-bike,12,169,23,559,4.66,13478.7,25,11,0.8947,4,1,31.02,Gold
7450,Denver,E-bike,5,496,58,1062,4.41,14829.55,27,8,0.9,2,3,33.08,Standard
5171,Chicago,Scooter,11,292,38,1337,5.0,21745.58,25,19,1.0,2,1,26.6,Gold
6345,Austin,Car,2,286,34,522,4.12,12847.5,30,10,0.7083,2,3,,Standard
6662,Seattle,Scooter,7,237,32,689,4.22,11732.89,19,8,0.8125,3,2,33.51,Standard
5543,Austin,Car,3,98,63,1690,4.41,18368.0,21,13,0.8571,0,1,30.04,Gold
5074,Seattle,Walking,4,426,39,262,4.25,11529.82,27,2,0.8,5,1,34.53,Standard
5002,Denver,Car,7,399,54,164,3.95,8522.83,34,4,0.6786,4,1,33.7,Standard
6030,Boston,Car,1,70,54,45,4.23,10031.67,31,10,0.72,2,1,32.28,Standard
5637,Chicago,Walking,4,44,27,1793,3.92,13124.82,22,5,0.7143,0,3,,Standard
5544,Seattle,Bicycle,9,356,37,1562,4.42,15355.5,24,7,0.85,3,2,33.06,Standard
5959,Denver,Scooter,1,230,27,1545,4.23,14026.47,21,5,0.8235,2,2,33.73,Standard
7429,Seattle,Scooter,3,252,33,1413,4.65,22061.22,27,23,1.0,1,0,25.69,Gold
5537,Chicago,Car,7,642,53,253,3.55,7708.85,27,3,0.5217,2,2,38.08,Standard
6807,Boston,Bicycle,5,162,58,426,4.44,14293.05,30,14,0.96,4,1,31.66,Gold
5355,Boston,Scooter,1,141,52,1401,5.0,20407.95,26,19,1.0,1,1,24.62,Gold
7496,Chicago,Bicycle,10,101,56,1547,4.31,16960.77,28,7,0.8182,3,1,,Standard
7437,Chicago,E-bike,11,597,29,490,4.49,14048.38,25,6,1.0,5,1,31.3,Gold
5713,Austin,Scooter,6,231,54,1144,4.39,15579.15,30,10,0.84,2,3,30.16,Gold
6521,Denver,E-bike,1,319,46,247,3.53,6127.16,34,2,0.6071,5,6,40.48,Standard
5869,Austin,Scooter,12,217,18,869,4.19,13979.88,30,10,0.8077,3,1,30.69,Standard
5458,Seattle,Bicycle,10,16,53,540,4.47,14672.0,34,13,0.9032,3,0,30.35,Gold
5132,Denver,Car,8,63,39,724,4.24,12464.97,26,5,0.7727,2,5,35.54,Standard
7036,Austin,Bicycle,11,94,38,1118,4.39,14738.37,21,5,0.8,4,1,36.49,Standard
6962,Denver,Bicycle,4,396,48,1759,4.62,18962.33,27,11,0.8696,3,2,31.52,Gold
6725,Chicago,Bicycle,11,615,43,317,4.51,14267.58,25,14,0.8095,4,2,29.2,Gold
5607,Austin,Bicycle,8,188,27,1626,4.75,20251.39,27,17,0.9583,1,3,31.3,Gold
5503,Denver,Car,3,175,50,168,3.64,7078.76,20,0,0.4615,2,5,38.54,Standard
6461,Chicago,E-bike,8,638,41,1580,4.29,14182.19,32,10,0.8,6,0,34.31,Standard
7227,Chicago,Bicycle,6,584,29,961,4.14,12782.78,30,6,0.7037,0,4,36.64,Standard
5216,Austin,Bicycle,7,19,47,1210,4.44,14819.06,27,10,0.875,1,2,32.2,Gold
5640,Seattle,E-bike,6,550,19,905,4.29,11596.57,36,8,0.7333,3,1,33.89,Standard
7156,Chicago,Scooter,1,48,59,1208,4.07,13749.37,27,8,0.7143,3,0,34.14,Standard
5249,Denver,Car,8,88,60,828,4.35,13339.05,20,6,0.9286,3,0,34.11,Gold
6762,Austin,Bicycle,9,594,36,1581,4.42,16293.43,22,9,0.7647,2,1,,Standard
6997,Boston,Bicycle,5,484,36,1424,4.23,16281.16,23,8,0.8889,2,0,32.44,Standard
5413,Seattle,E-bike,9,91,33,1141,3.8,13561.29,24,8,0.7391,0,2,33.37,Standard
7407,Chicago,Car,6,228,25,993,3.95,11942.03,26,4,0.7368,4,0,37.63,Standard
6729,Boston,Car,7,45,47,253,4.35,12143.8,21,6,0.8667,3,1,32.47,Standard
7168,Seattle,Car,3,76,63,502,4.43,10410.87,28,3,0.7917,1,2,,Standard
6228,Denver,Scooter,5,556,57,903,4.5,14435.98,28,12,0.6818,3,2,33.27,Standard
5021,Boston,E-bike,4,426,51,445,4.14,11052.47,37,14,0.8667,4,3,33.58,Standard
6092,Boston,Scooter,1,248,53,594,4.71,12988.41,24,14,1.0,2,1,27.74,Gold
6488,Chicago,Bicycle,12,5,30,856,4.55,13313.35,24,13,0.9048,3,0,32.29,Gold
5897,Boston,Car,5,590,63,721,4.52,14487.72,37,17,0.9333,5,0,30.67,Gold
6705,Denver,Car,1,256,36,1713,4.06,13997.18,27,2,0.625,7,1,37.61,Standard
7288,Austin,Car,12,218,24,852,4.56,14280.43,31,12,0.931,2,1,30.99,Gold
5135,Denver,Car,3,106,31,165,5.0,14887.78,26,18,0.9565,2,1,27.75,Gold
6450,Denver,Scooter,1,117,50,575,4.72,13801.46,32,16,0.9231,4,2,31.01,Gold
6232,Denver,Car,1,517,31,1075,4.03,14474.35,37,14,0.6452,3,1,34.98,Standard
5083,Seattle,Bicycle,4,498,37,1682,4.5,18906.98,38,30,0.9143,2,0,30.37,Gold
5560,Seattle,Scooter,8,526,51,625,3.75,10630.21,20,3,0.8571,3,2,35.76,Standard
5060,Chicago,Car,6,513,53,1382,4.56,20101.93,28,15,0.8889,0,3,29.67,Gold
5039,Seattle,E-bike,11,108,22,69,4.2,10411.43,34,13,0.6129,2,6,32.1,Standard
7251,Seattle,Bicycle,3,10,59,165,4.37,12792.56,20,8,0.8889,1,1,,Gold
5353,Austin,Bicycle,1,540,25,951,4.2,11314.25,26,12,0.92,0,0,32.9,Standard
5304,Boston,Car,5,533,49,1178,4.76,16527.06,21,10,0.6471,2,2,31.61,Gold
5556,Boston,Scooter,12,509,43,1507,4.66,17284.57,29,14,0.7826,3,0,34.22,Gold
7125,Chicago,Car,10,330,43,1101,4.3,13324.16,28,4,0.6364,4,2,,Standard
6640,Boston,Car,10,216,54,869,4.38,16238.11,30,20,0.8889,3,1,29.71,Gold
6366,Boston,Car,10,341,60,585,4.77,14277.08,29,13,1.0,5,3,30.88,Gold
7378,Denver,E-bike,7,587,28,550,3.8,8413.95,31,6,0.64,6,2,36.2,Standard
6028,Austin,Scooter,6,495,63,437,3.89,9153.79,27,6,0.6364,3,1,34.79,Standard
6147,Boston,Scooter,1,493,57,669,3.9,7382.07,18,2,0.75,0,1,37.34,Standard
6304,Denver,E-bike,9,97,49,496,4.52,13036.41,31,11,0.9615,2,1,32.48,Gold
6608,Boston,Car,9,126,61,656,4.16,8388.4,27,2,0.5417,2,0,36.27,Standard
5800,Seattle,Bicycle,4,403,53,1498,4.13,16674.34,27,9,0.85,5,2,29.74,Standard
5278,Seattle,Car,7,671,28,1342,4.02,11704.75,34,4,0.7,7,1,31.28,Standard
5470,Seattle,Car,12,401,24,459,3.99,10098.4,15,4,0.5833,3,1,34.26,Standard
5167,Boston,Car,2,6,26,1121,4.61,13067.31,26,8,0.9091,0,3,31.26,Standard
5631,Boston,Scooter,7,531,55,754,3.89,11062.5,33,5,0.8462,3,2,33.83,Standard
6368,Austin,Scooter,12,627,38,1074,4.29,14608.87,23,9,0.95,2,1,31.56,Standard
6577,Chicago,E-bike,1,255,45,1327,4.5,16167.12,37,18,0.7742,3,1,32.75,Gold
5576,Denver,Car,6,429,36,739,4.15,14757.3,34,15,0.9286,5,3,31.79,Gold
5729,Boston,Car,12,594,28,1489,3.67,9708.03,29,0,0.5714,4,3,35.98,Standard
6341,Denver,Car,10,328,22,1428,3.86,13526.61,32,5,0.6897,2,6,35.31,Standard
6449,Austin,E-bike,10,668,26,765,4.5,14385.88,32,15,0.8148,4,1,31.22,Gold
6536,Denver,Bicycle,11,179,62,1677,4.9,22757.51,23,16,1.0,3,0,27.39,Gold
5267,Chicago,Scooter,6,532,28,1165,4.19,17433.61,44,18,0.8,6,3,30.81,Gold
7252,Austin,Car,9,322,31,647,4.02,12534.9,33,12,0.7931,1,1,31.84,Standard
5706,Chicago,Scooter,12,619,55,1653,4.66,19360.62,27,16,0.92,1,0,29.36,Gold
6391,Denver,Car,5,94,26,1254,4.58,19707.29,29,21,0.92,2,1,24.46,Gold
5810,Seattle,E-bike,6,370,56,752,3.46,4029.76,29,2,0.3684,4,5,41.46,Standard
5221,Boston,Walking,1,519,36,648,4.99,16549.92,25,19,0.9167,1,0,30.4,Gold
5203,Austin,Car,7,617,22,823,4.05,8646.02,30,4,0.72,5,3,36.97,Standard
6876,Boston,Bicycle,5,501,63,134,4.43,11126.69,24,10,0.85,3,3,33.76,Standard
7415,Chicago,Scooter,6,490,21,1470,4.54,18160.13,19,9,0.8889,0,2,30.07,Gold
5922,Seattle,E-bike,11,35,47,493,4.7,14670.89,20,9,0.875,3,2,30.04,Gold
6737,Austin,E-bike,6,392,20,498,4.76,15161.36,29,18,0.9231,2,0,28.87,Gold
6380,Boston,Car,10,684,23,764,3.96,10751.84,29,5,0.7727,3,2,35.23,Standard
5647,Austin,E-bike,3,212,47,1140,4.31,16113.13,36,14,0.8333,8,2,32.03,Gold
7090,Boston,E-bike,2,237,24,541,4.07,9842.99,27,7,0.4545,4,2,36.67,Standard
6656,Austin,Car,8,393,30,656,4.64,12081.46,27,10,0.8261,2,3,36.22,Standard
7235,Boston,Car,5,240,29,1774,4.72,20061.82,34,21,0.8966,3,1,27.26,Gold
7113,Denver,Scooter,3,680,39,973,4.67,19726.59,25,17,0.9,3,1,27.54,Gold
7149,Boston,Bicycle,2,54,36,1232,4.12,12834.02,35,4,0.7917,8,4,34.75,Standard
7190,Denver,Bicycle,9,191,48,1337,4.26,16600.68,34,15,0.7742,1,1,33.56,Gold
7446,Austin,Walking,7,91,35,277,4.44,12255.04,33,12,0.8077,5,4,32.55,Standard
6343,Denver,Car,1,612,27,620,3.84,9943.18,33,2,0.5,3,2,37.39,Standard
6586,Chicago,Car,2,543,24,1501,4.11,15628.35,23,5,0.8889,4,0,35.8,Standard
7313,Boston,Car,5,80,51,295,4.37,11233.2,26,10,0.6957,2,0,32.26,Standard
6848,Seattle,Walking,6,346,18,794,4.32,12806.61,29,13,0.8571,0,0,33.37,Standard
6472,Seattle,Bicycle,4,258,43,1699,4.29,17425.59,24,9,0.7647,6,0,32.88,Standard
6344,Seattle,Car,1,217,41,1168,5.0,19525.12,23,18,1.0,1,2,27.64,Gold
5539,Austin,Car,4,426,18,340,4.18,7857.51,35,5,0.7742,2,5,36.12,Standard
