,courier_id,city,vehicle_age_years,days_since_service,age,tenure_days,rating,total_earnings,number_of_orders,number_of_five_star_orders,on_time_rate,number_of_cancellations,number_of_complaints,avg_delivery_minutes,courier_tier,vehicle_type_Car,vehicle_type_Bicycle,vehicle_type_Walking,vehicle_type_E-bike,vehicle_type_Scooter
120,6785,1.0,6,342,30,34,4.42,0.4813,28,14,0.92,2,0,29.45,1,0,0,0,1,0
121,6236,3.0,8,266,39,567,4.56,0.4595,38,10,0.7097,6,1,32.9,0,0,0,0,1,0
122,5862,3.0,10,173,53,1429,4.27,0.4129,36,6,0.7333,4,3,35.96,0,0,0,0,0,1
123,5097,4.0,9,657,31,865,4.1,0.3826,30,4,0.5789,6,0,35.59,0,1,0,0,0,0
124,6716,3.0,6,566,52,1019,3.92,0.4128,25,5,0.6818,2,4,34.62,0,0,1,0,0,0
125,5557,0.0,7,652,44,523,4.64,0.5103,35,14,0.8667,1,1,30.91,1,1,0,0,0,0
126,5184,2.0,11,73,21,1474,4.36,0.6493,24,11,0.9524,2,1,32.22,0,0,0,0,0,1
127,6546,4.0,6,286,55,1717,4.46,0.6958,29,13,0.8889,0,0,33.17,1,1,0,0,0,0
128,7447,3.0,4,699,56,1460,4.72,0.6104,34,11,0.8214,2,5,32.84,0,0,1,0,0,0
129,7176,1.0,12,343,43,815,4.66,0.6478,26,22,0.8696,1,1,24.62,1,0,1,0,0,0
130,7148,1.0,12,20,59,799,4.27,0.5118,26,9,0.9565,2,3,35.06,0,0,1,0,0,0
131,6818,2.0,5,500,52,541,4.71,0.6774,33,27,1.0,1,0,25.34,1,0,1,0,0,0
132,6470,3.0,3,92,51,766,4.33,0.4753,31,6,0.7692,4,1,34.77,0,1,0,0,0,0
133,7067,1.0,6,395,31,1763,3.85,0.5681,28,3,0.6667,3,2,35.26,0,1,0,0,0,0
134,5579,0.0,9,241,48,741,4.79,0.5995,27,17,0.9167,1,0,31.45,1,1,0,0,0,0
135,7417,4.0,12,499,62,220,4.07,0.2322,31,3,0.5769,3,2,37.54,0,0,0,0,0,1
136,5616,0.0,9,162,33,367,4.05,0.2485,29,7,0.8,6,0,35.66,0,1,0,0,0,0
137,6556,0.0,2,204,26,751,4.83,0.6232,24,13,1.0,1,1,29.52,1,1,0,0,0,0
138,5482,2.0,11,656,40,1239,4.05,0.4394,20,2,0.4167,6,1,36.91,0,0,1,0,0,0
139,6371,0.0,6,27,25,248,4.15,0.4226,21,8,0.7222,2,3,30.02,0,0,1,0,0,0
140,6627,1.0,12,557,19,1390,4.46,0.5720,30,16,0.8148,2,0,34.34,1,0,1,0,0,0
141,5570,2.0,10,626,50,1358,3.97,0.4789,27,7,0.75,3,1,36.97,0,1,0,0,0,0
142,6465,2.0,11,163,49,102,4.11,0.2956,20,7,0.5,3,2,35.0,0,1,0,0,0,0
143,7006,3.0,11,600,36,1082,4.27,0.5518,30,14,0.7778,3,5,32.77,1,0,0,0,0,1
144,5342,3.0,2,309,49,551,3.88,0.3242,33,6,0.7857,1,8,34.95,0,0,0,0,0,1
145,7434,3.0,9,194,18,708,4.52,0.5653,23,12,0.7368,1,3,28.42,1,1,0,0,0,0
146,6537,1.0,1,609,46,88,4.14,0.2909,34,5,0.6957,6,3,35.73,0,0,0,0,0,1
147,5432,0.0,12,523,63,1730,5.0,0.8379,29,25,0.963,2,0,27.39,1,0,0,0,1,0
148,5455,2.0,1,507,19,1169,4.13,0.4391,24,2,0.5,7,0,35.09,0,0,1,0,0,0
149,5189,1.0,4,206,40,1064,4.26,0.6016,22,8,0.8947,2,1,33.2,0,0,0,0,0,1
150,5735,0.0,1,682,60,321,4.6,0.4574,26,10,0.7826,2,0,34.26,0,0,0,0,1,0
151,5737,4.0,9,652,58,362,4.27,0.4406,34,16,0.9643,6,1,31.31,1,0,0,0,0,1
152,6581,1.0,12,352,61,237,4.45,0.3522,27,13,0.913,3,1,33.35,0,1,0,0,0,0
153,7267,3.0,5,688,41,854,4.15,0.4195,24,4,0.5263,3,2,34.53,0,0,0,0,1,0
154,6639,2.0,1,353,31,656,4.02,0.4750,28,7,0.7143,5,2,32.84,0,0,0,0,0,1
155,6746,3.0,1,581,39,458,4.27,0.4737,27,16,0.9091,4,2,29.01,1,0,0,0,0,1
156,6096,4.0,5,674,32,1399,4.0,0.5168,31,7,0.75,4,6,36.88,0,0,0,0,0,1
157,7000,4.0,9,586,49,496,3.76,0.2626,27,4,0.6364,4,4,36.0,0,0,0,0,0,1
158,6719,3.0,2,562,50,983,4.1,0.4828,36,13,0.8276,5,5,34.07,0,0,0,0,0,1
159,6205,1.0,8,184,56,1730,4.78,0.8126,20,13,0.9444,1,1,32.03,1,0,0,0,0,1
160,5012,2.0,12,678,50,1719,4.97,0.7820,27,19,1.0,2,0,27.64,1,1,0,0,0,0
161,6281,1.0,11,503,21,1207,4.06,0.4144,23,3,0.7222,3,0,35.34,0,0,0,0,0,1
162,5268,4.0,4,440,57,1480,3.93,0.4809,20,6,0.7857,3,1,37.71,0,0,0,0,1,0
163,6734,0.0,8,76,43,785,3.83,0.4840,26,7,0.6667,2,1,32.31,0,0,0,1,0,0
164,5472,0.0,3,226,27,711,5.0,0.6643,24,18,1.0,0,1,25.44,1,1,0,0,0,0
165,5785,0.0,10,370,63,1607,4.51,0.6162,30,11,0.9524,6,1,29.68,0,0,1,0,0,0
166,7161,3.0,2,576,18,1602,5.0,0.8014,29,22,0.96,3,1,28.35,1,0,1,0,0,0
167,6317,3.0,11,544,59,115,4.12,0.3202,19,3,0.6154,4,0,32.8,0,0,0,0,0,1
168,5239,4.0,12,334,54,258,4.51,0.5175,26,10,0.8571,4,0,29.3,1,0,0,0,1,0
169,7367,0.0,5,82,45,1077,4.02,0.3566,24,4,0.7059,5,1,37.81,0,1,0,0,0,0
170,7320,0.0,4,607,53,1021,3.71,0.2984,30,3,0.7273,2,1,40.93,0,0,1,0,0,0
171,5754,0.0,3,3,39,1438,4.25,0.6598,31,13,0.963,1,2,32.84,1,0,1,0,0,0
172,6309,4.0,12,169,23,559,4.66,0.4924,25,11,0.8947,4,1,31.02,1,0,0,0,1,0
173,7450,3.0,5,496,58,1062,4.41,0.5497,27,8,0.9,2,3,33.08,0,0,0,0,1,0
174,5171,2.0,11,292,38,1337,5.0,0.8434,25,19,1.0,2,1,26.6,1,0,0,0,0,1
175,6345,0.0,2,286,34,522,4.12,0.4656,30,10,0.7083,2,3,32.84,0,1,0,0,0,0
176,6662,4.0,7,237,32,689,4.22,0.4183,19,8,0.8125,3,2,33.51,0,0,0,0,0,1
177,5543,0.0,3,98,63,1690,4.41,0.7000,21,13,0.8571,0,1,30.04,1,1,0,0,0,0
178,5074,4.0,4,426,39,262,4.25,0.4096,27,2,0.8,5,1,34.53,0,0,0,1,0,0
179,5002,3.0,7,399,54,164,3.95,0.2820,34,4,0.6786,4,1,33.7,0,1,0,0,0,0
180,6030,1.0,1,70,54,45,4.23,0.3460,31,10,0.72,2,1,32.28,0,1,0,0,0,0
181,5637,2.0,4,44,27,1793,3.92,0.4774,22,5,0.7143,0,3,32.84,0,0,0,1,0,0
182,5544,4.0,9,356,37,1562,4.42,0.5721,24,7,0.85,3,2,33.06,0,0,1,0,0,0
183,5959,3.0,1,230,27,1545,4.23,0.5157,21,5,0.8235,2,2,33.73,0,0,0,0,0,1
184,7429,4.0,3,252,33,1413,4.65,0.8568,27,23,1.0,1,0,25.69,1,0,0,0,0,1
185,5537,2.0,7,642,53,253,3.55,0.2474,27,3,0.5217,2,2,38.08,0,1,0,0,0,0
186,6807,1.0,5,162,58,426,4.44,0.5270,30,14,0.96,4,1,31.66,1,0,1,0,0,0
187,5355,1.0,1,141,52,1401,5.0,0.7866,26,19,1.0,1,1,24.62,1,0,0,0,0,1
188,7496,2.0,10,101,56,1547,4.31,0.6402,28,7,0.8182,3,1,32.84,0,0,1,0,0,0
189,7437,2.0,11,597,29,490,4.49,0.5166,25,6,1.0,5,1,31.3,1,0,0,0,1,0
190,5713,0.0,6,231,54,1144,4.39,0.5816,30,10,0.84,2,3,30.16,1,0,0,0,0,1
191,6521,3.0,1,319,46,247,3.53,0.1802,34,2,0.6071,5,6,40.48,0,0,0,0,1,0
192,5869,0.0,12,217,18,869,4.19,0.5137,30,10,0.8077,3,1,30.69,0,0,0,0,0,1
193,5458,4.0,10,16,53,540,4.47,0.5431,34,13,0.9032,3,0,30.35,1,0,1,0,0,0
194,5132,3.0,8,63,39,724,4.24,0.4493,26,5,0.7727,2,5,35.54,0,1,0,0,0,0
195,7036,0.0,11,94,38,1118,4.39,0.5459,21,5,0.8,4,1,36.49,0,0,1,0,0,0
196,6962,3.0,4,396,48,1759,4.62,0.7252,27,11,0.8696,3,2,31.52,1,0,1,0,0,0
197,6725,2.0,11,615,43,317,4.51,0.5259,25,14,0.8095,4,2,29.2,1,0,1,0,0,0
198,5607,0.0,8,188,27,1626,4.75,0.7800,27,17,0.9583,1,3,31.3,1,0,1,0,0,0
199,5503,3.0,3,175,50,168,3.64,0.2207,20,0,0.4615,2,5,38.54,0,1,0,0,0,0
200,6461,2.0,8,638,41,1580,4.29,0.5223,32,10,0.8,6,0,34.31,0,0,0,0,1,0
201,7227,2.0,6,584,29,961,4.14,0.4628,30,6,0.7037,0,4,36.64,0,0,1,0,0,0
202,5216,0.0,7,19,47,1210,4.44,0.5493,27,10,0.875,1,2,32.2,1,0,1,0,0,0
203,5640,4.0,6,550,19,905,4.29,0.4125,36,8,0.7333,3,1,33.89,0,0,0,0,1,0
204,7156,2.0,1,48,59,1208,4.07,0.5039,27,8,0.7143,3,0,34.14,0,0,0,0,0,1
205,5249,3.0,8,88,60,828,4.35,0.4865,20,6,0.9286,3,0,34.11,1,1,0,0,0,0
206,6762,0.0,9,594,36,1581,4.42,0.6119,22,9,0.7647,2,1,32.84,0,0,1,0,0,0
207,6997,1.0,5,484,36,1424,4.23,0.6114,23,8,0.8889,2,0,32.44,0,0,1,0,0,0
208,5413,4.0,9,91,33,1141,3.8,0.4959,24,8,0.7391,0,2,33.37,0,0,0,0,1,0
209,7407,2.0,6,228,25,993,3.95,0.4271,26,4,0.7368,4,0,37.63,0,1,0,0,0,0
210,6729,1.0,7,45,47,253,4.35,0.4357,21,6,0.8667,3,1,32.47,0,1,0,0,0,0
211,7168,4.0,3,76,63,502,4.43,0.3621,28,3,0.7917,1,2,32.84,0,1,0,0,0,0
212,6228,3.0,5,556,57,903,4.5,0.5330,28,12,0.6818,3,2,33.27,0,0,0,0,0,1
213,5021,1.0,4,426,51,445,4.14,0.3894,37,14,0.8667,4,3,33.58,0,0,0,0,1,0
214,6092,1.0,1,248,53,594,4.71,0.4716,24,14,1.0,2,1,27.74,1,0,0,0,0,1
215,6488,2.0,12,5,30,856,4.55,0.4854,24,13,0.9048,3,0,32.29,1,0,1,0,0,0
216,5897,1.0,5,590,63,721,4.52,0.5352,37,17,0.9333,5,0,30.67,1,1,0,0,0,0
217,6705,3.0,1,256,36,1713,4.06,0.5144,27,2,0.625,7,1,37.61,0,1,0,0,0,0
218,7288,0.0,12,218,24,852,4.56,0.5264,31,12,0.931,2,1,30.99,1,1,0,0,0,0
219,5135,3.0,3,106,31,165,5.0,0.5522,26,18,0.9565,2,1,27.75,1,1,0,0,0,0
220,6450,3.0,1,117,50,575,4.72,0.5061,32,16,0.9231,4,2,31.01,1,0,0,0,0,1
221,6232,3.0,1,517,31,1075,4.03,0.5347,37,14,0.6452,3,1,34.98,0,1,0,0,0,0
222,5083,4.0,4,498,37,1682,4.5,0.7229,38,30,0.9143,2,0,30.37,1,0,1,0,0,0
223,5560,4.0,8,526,51,625,3.75,0.3714,20,3,0.8571,3,2,35.76,0,0,0,0,0,1
224,5060,2.0,6,513,53,1382,4.56,0.7736,28,15,0.8889,0,3,29.67,1,1,0,0,0,0
225,5039,4.0,11,108,22,69,4.2,0.3622,34,13,0.6129,2,6,32.1,0,0,0,0,1,0
226,7251,4.0,3,10,59,165,4.37,0.4633,20,8,0.8889,1,1,32.84,1,0,1,0,0,0
227,5353,0.0,1,540,25,951,4.2,0.4005,26,12,0.92,0,0,32.9,0,0,1,0,0,0
228,5304,1.0,5,533,49,1178,4.76,0.6218,21,10,0.6471,2,2,31.61,1,1,0,0,0,0
229,5556,1.0,12,509,43,1507,4.66,0.6540,29,14,0.7826,3,0,34.22,1,0,0,0,0,1
230,7125,2.0,10,330,43,1101,4.3,0.4858,28,4,0.6364,4,2,32.84,0,1,0,0,0,0
231,6640,1.0,10,216,54,869,4.38,0.6096,30,20,0.8889,3,1,29.71,1,1,0,0,0,0
232,6366,1.0,10,341,60,585,4.77,0.5263,29,13,1.0,5,3,30.88,1,1,0,0,0,0
233,7378,3.0,7,587,28,550,3.8,0.2773,31,6,0.64,6,2,36.2,0,0,0,0,1,0
234,6028,0.0,6,495,63,437,3.89,0.3088,27,6,0.6364,3,1,34.79,0,0,0,0,0,1
235,6147,1.0,1,493,57,669,3.9,0.2335,18,2,0.75,0,1,37.34,0,0,0,0,0,1
236,6304,3.0,9,97,49,496,4.52,0.4736,31,11,0.9615,2,1,32.48,1,0,0,0,1,0
237,6608,1.0,9,126,61,656,4.16,0.2763,27,2,0.5417,2,0,36.27,0,1,0,0,0,0
238,5800,4.0,4,403,53,1498,4.13,0.6281,27,9,0.85,5,2,29.74,0,0,1,0,0,0
239,5278,4.0,7,671,28,1342,4.02,0.4171,34,4,0.7,7,1,31.28,0,1,0,0,0,0
240,5470,4.0,12,401,24,459,3.99,0.3489,15,4,0.5833,3,1,34.26,0,1,0,0,0,0
241,5167,1.0,2,6,26,1121,4.61,0.4749,26,8,0.9091,0,3,31.26,0,1,0,0,0,0
242,5631,1.0,7,531,55,754,3.89,0.3898,33,5,0.8462,3,2,33.83,0,0,0,0,0,1
243,6368,0.0,12,627,38,1074,4.29,0.5404,23,9,0.95,2,1,31.56,0,0,0,0,0,1
244,6577,2.0,1,255,45,1327,4.5,0.6065,37,18,0.7742,3,1,32.75,1,0,0,0,1,0
245,5576,3.0,6,429,36,739,4.15,0.5467,34,15,0.9286,5,3,31.79,1,1,0,0,0,0
246,5729,1.0,12,594,28,1489,3.67,0.3323,29,0,0.5714,4,3,35.98,0,1,0,0,0,0
247,6341,3.0,10,328,22,1428,3.86,0.4944,32,5,0.6897,2,6,35.31,0,1,0,0,0,0
