vehicle_id,vehicle_type,purchase_year,last_service_date
1163,Bicycle,2018,24/03/2023
1164,Car,2022,07/01/2023
1165,Walking,2022,16/08/2023
1166,E-bike,2020,01/02/2024
1167,Walking,2017,13/09/2022
1168,Car,2015,08/02/2023
1169,Car,2023,06/09/2022
1170,Bicycle,2015,01/03/2024
1171,Scooter,2021,07/04/2024
1172,Car,2022,30/10/2023
1173,Bicycle,2020,03/09/2023
1174,E-bike,2017,11/12/2022
1175,Car,2020,16/08/2023
1176,Bicycle,2013,10/11/2023
1177,Car,2017,18/05/2023
1178,Car,2016,12/10/2023
1179,Bicycle,2013,20/09/2022
1180,Scooter,2012,14/10/2022
1181,E-bike,2014,19/05/2023
1182,E-bike,2023,21/02/2024
1183,E-bike,2020,04/05/2024
1184,E-bike,2013,13/10/2022
1185,Bicycle,2012,07/03/2023
1186,E-bike,2013,02/10/2023
1187,Walking,2015,29/01/2023
1188,E-bike,2016,26/03/2024
1189,Walking,2019,17/11/2023
1190,Car,2018,29/09/2022
1191,Bicycle,2013,30/12/2023
1192,Bicycle,2020,04/03/2023
1193,E-bike,2013,23/01/2023
1194,Car,2015,18/08/2023
1195,Car,2019,26/01/2024
1196,Scooter,2021,20/05/2023
1197,Bicycle,2021,12/07/2023
1198,Bicycle,2015,27/10/2023
1199,Bicycle,2020,12/07/2023
1200,Car,2018,05/07/2023
1201,Car,2021,27/11/2022
1202,E-bike,2023,19/10/2023
1203,Bicycle,2012,22/11/2022
1204,Scooter,2021,16/08/2023
1205,Walking,2012,10/09/2023
1206,E-bike,2013,22/11/2023
1207,E-bike,2020,24/01/2024
1208,Scooter,2016,04/12/2022
1209,Bicycle,2019,15/03/2023
1210,E-bike,2013,01/03/2024
1211,Scooter,2014,11/09/2022
1212,Bicycle,2019,19/11/2022
1213,Scooter,2015,19/08/2022
1214,Car,2013,04/09/2022
1215,Bicycle,2012,22/12/2023
1216,Bicycle,2023,26/01/2023
1217,Walking,2012,28/10/2022
1218,Scooter,2014,13/01/2024
1219,E-bike,2018,28/05/2023
1220,E-bike,2018,01/03/2023
1221,Car,2017,23/09/2022
1222,Car,2017,01/12/2022
1223,Bicycle,2015,07/12/2023
1224,Bicycle,2020,03/10/2022
1225,E-bike,2017,12/04/2023
1226,Car,2022,10/02/2024
1227,Scooter,2017,02/08/2023
1228,Bicycle,2016,31/08/2023
1229,E-bike,2018,07/07/2022
1230,E-bike,2020,13/02/2024
1231,Car,2023,15/10/2022
1232,Car,2014,09/05/2023
1233,Walking,2022,21/09/2023
1234,Bicycle,2017,26/04/2023
1235,Car,2022,29/06/2023
1236,E-bike,2013,18/04/2023
1237,E-bike,2023,28/11/2022
1238,E-bike,2023,09/04/2023
1239,Car,2017,24/12/2023
1240,Bicycle,2022,09/11/2023
1241,Bicycle,2020,24/07/2022
1242,Bicycle,2018,05/12/2022
1243,Walking,2018,14/12/2022
1244,Bicycle,2020,21/09/2022
1245,Bicycle,2018,15/12/2022
1246,Car,2015,30/01/2024
1247,Car,2012,29/08/2023
1248,Bicycle,2020,04/01/2023
1249,Scooter,2015,28/07/2023
1250,Car,2023,14/08/2023
1251,Walking,2014,23/01/2023
1252,Car,2017,19/12/2023
1253,Car,2014,22/03/2023
1254,Scooter,2013,07/01/2023
1255,Bicycle,2016,04/10/2022
1256,E-bike,2020,10/08/2023
1257,Car,2021,20/11/2023
1258,Bicycle,2022,21/09/2022
1259,E-bike,2015,18/09/2022
1260,Car,2019,07/11/2022
1261,Car,2018,12/06/2023
1262,Scooter,2012,21/08/2023
1263,E-bike,2018,02/11/2022
1264,Car,2016,21/08/2023
1265,Walking,2018,27/01/2024
1266,E-bike,2018,04/07/2023
1267,Bicycle,2019,06/03/2023
1268,Scooter,2019,22/05/2024
1269,E-bike,2021,29/01/2023
1270,E-bike,2012,21/08/2022
1271,E-bike,2018,24/04/2023
1272,Car,2015,04/10/2023
1273,Car,2013,24/05/2024
1274,Walking,2020,21/07/2022
1275,Car,2022,24/05/2024
1276,E-bike,2018,12/11/2022
1277,Bicycle,2021,30/03/2023
1278,E-bike,2021,01/11/2023
1279,Bicycle,2017,28/08/2022
1280,Bicycle,2017,05/08/2023
1281,Bicycle,2016,22/07/2023
1282,Car,2018,11/06/2023
1283,Scooter,2018,22/12/2022
1284,Bicycle,2017,05/09/2023
1285,Bicycle,2013,25/03/2023
1286,Bicycle,2018,07/03/2023
1287,Bicycle,2017,08/01/2023
1288,Car,2016,22/05/2024
1289,Scooter,2012,14/03/2024
1290,Walking,2014,23/11/2022
1291,E-bike,2016,04/05/2023
1292,E-bike,2021,27/04/2024
1293,Car,2018,03/12/2022
1294,Car,2015,04/11/2023
1295,Car,2020,28/06/2023
1296,E-bike,2014,29/08/2022
1297,E-bike,2014,04/11/2022
1298,Bicycle,2020,19/09/2022
1299,E-bike,2017,06/09/2022
1300,Bicycle,2012,10/09/2022
1301,E-bike,2021,22/12/2022
1302,Car,2012,28/05/2023
1303,Car,2012,05/05/2023
1304,Car,2018,07/06/2023
1305,Car,2022,23/12/2022
1306,Car,2017,12/03/2023
1307,Scooter,2022,01/01/2024
1308,Car,2023,10/04/2023
1309,E-bike,2014,12/02/2023
1310,Bicycle,2017,02/09/2023
1311,Scooter,2023,02/10/2022
1312,Scooter,2016,12/09/2022
1313,Bicycle,2023,21/08/2023
1314,Scooter,2018,02/01/2024
1315,Car,2019,20/11/2023
1316,Bicycle,2014,16/05/2024
1317,Car,2012,26/12/2022
1318,Scooter,2015,06/01/2024
1319,E-bike,2019,03/03/2023
1320,Scooter,2021,24/02/2023
1321,E-bike,2015,29/04/2023
1322,E-bike,2018,08/05/2024
1323,E-bike,2021,03/01/2023
1324,E-bike,2013,30/04/2023
1325,Bicycle,2020,30/06/2023
1326,Walking,2018,09/01/2024
1327,Bicycle,2014,18/06/2023
1328,Scooter,2023,27/08/2022
1329,Car,2016,26/05/2024
1330,Car,2016,30/01/2023
1331,Car,2013,19/05/2024
1332,Bicycle,2021,11/10/2023
1333,Walking,2016,28/03/2023
1334,Bicycle,2013,27/02/2023
1335,Bicycle,2017,26/12/2022
1336,E-bike,2014,07/08/2023
1337,Car,2013,30/04/2024
1338,Car,2023,20/11/2022
1339,Car,2022,31/10/2023
1340,Car,2020,15/09/2022
1341,Bicycle,2017,13/12/2022
1342,Car,2017,31/12/2022
1343,Scooter,2021,03/11/2023
1344,E-bike,2012,21/07/2022
1345,Car,2022,12/02/2024
1346,Car,2021,14/07/2022
1347,Walking,2022,16/06/2023
1348,E-bike,2017,04/11/2023
1349,E-bike,2021,03/07/2023
1350,E-bike,2014,08/05/2024
1351,Scooter,2016,26/10/2023
1352,Scooter,2016,25/05/2023
1353,Walking,2019,15/06/2023
1354,E-bike,2018,04/04/2024
1355,Scooter,2015,08/11/2022
1356,Car,2021,12/11/2023
1357,Car,2014,17/05/2023
1358,Scooter,2020,19/02/2024
1359,Car,2013,15/09/2022
1360,Car,2023,03/11/2023
1361,Bicycle,2014,03/09/2023
1362,Bicycle,2019,14/06/2023
1363,Bicycle,2012,23/03/2023
1364,Walking,2016,17/03/2024
1365,E-bike,2022,28/06/2023
1366,Walking,2021,23/01/2024
1367,Car,2023,19/09/2023
1368,E-bike,2018,03/07/2022
1369,Scooter,2018,05/03/2024
1370,Car,2012,10/03/2023
1371,Scooter,2022,01/01/2023
1372,E-bike,2013,07/07/2022
1373,Car,2019,13/03/2024
1374,Bicycle,2014,14/06/2023
1375,Car,2019,30/10/2022
1376,Scooter,2013,24/06/2023
1377,Scooter,2016,03/03/2024
1378,Bicycle,2017,29/04/2023
1379,Car,2023,09/06/2023
1380,Scooter,2022,21/07/2023
1381,Walking,2022,26/08/2023
1382,Scooter,2019,04/11/2023
1383,Walking,2021,23/07/2022
1384,Car,2019,06/05/2024
1385,Bicycle,2019,04/03/2024
1386,E-bike,2020,22/02/2023
1387,Bicycle,2012,22/04/2024
1388,Bicycle,2020,26/02/2023
1389,Scooter,2016,30/12/2023
1390,Bicycle,2016,03/02/2024
1391,Car,2013,06/05/2023
1392,Scooter,2014,09/10/2023
1393,Scooter,2020,02/06/2023
1394,Scooter,2015,11/09/2023
1395,Car,2017,31/08/2023
1396,Car,2014,07/07/2023
1397,Bicycle,2022,02/05/2023
1398,E-bike,2017,21/05/2023
1399,E-bike,2019,09/05/2024
1400,Car,2019,08/02/2024
1401,Scooter,2013,04/12/2022
1402,E-bike,2012,30/09/2023
1403,Scooter,2016,09/09/2023
1404,E-bike,2021,30/09/2022
1405,E-bike,2018,11/11/2022
1406,Car,2021,07/10/2023
1407,E-bike,2015,19/09/2023
1408,Car,2015,16/01/2024
1409,Bicycle,2018,13/07/2023
1410,Bicycle,2018,19/07/2022
1411,E-bike,2017,01/01/2023
1412,Car,2023,17/06/2023
1413,Scooter,2019,24/12/2022
1414,Car,2012,13/07/2023
1415,Car,2013,21/08/2023
1416,Car,2017,26/11/2023
1417,Car,2015,17/11/2023
1418,E-bike,2022,10/03/2024
1419,Scooter,2021,30/09/2022
1420,Scooter,2017,15/03/2024
1421,Bicycle,2018,10/03/2024
1422,E-bike,2022,29/12/2023
1423,E-bike,2018,16/10/2023
1424,Scooter,2021,20/08/2023
1425,Car,2017,17/10/2023
1426,Bicycle,2017,27/12/2023
1427,Car,2017,08/12/2022
1428,Bicycle,2012,28/07/2022
1429,Scooter,2018,11/10/2022
1430,Scooter,2016,02/03/2023
1431,Car,2017,22/07/2022
1432,E-bike,2018,06/04/2024
1433,Walking,2022,19/09/2022
1434,Car,2022,14/10/2022
1435,Scooter,2021,28/03/2024
1436,Car,2015,15/07/2023
1437,Car,2014,15/01/2023
1438,Scooter,2023,05/02/2024
1439,Car,2014,07/04/2023
1440,Walking,2019,18/04/2023
1441,E-bike,2021,26/05/2024
1442,Bicycle,2020,15/12/2022
1443,Car,2021,24/12/2023
1444,E-bike,2015,23/01/2024
1445,Car,2013,07/09/2023
1446,Car,2018,03/10/2023
1447,Car,2017,09/11/2023
1448,E-bike,2022,18/03/2023
1449,Scooter,2019,24/12/2023
1450,E-bike,2015,30/06/2023
1451,Scooter,2018,26/10/2022
1452,Car,2013,13/09/2023
1453,Car,2013,08/03/2024
1454,Walking,2021,28/09/2022
1455,E-bike,2013,19/05/2023
1456,Walking,2015,21/11/2022
1457,E-bike,2013,14/02/2023
1458,Car,2020,02/05/2023
1459,Car,2022,10/11/2023
1460,Bicycle,2014,05/04/2023
1461,Bicycle,2023,14/01/2024
1462,Scooter,2013,06/12/2022
1463,Scooter,2021,29/08/2022
1464,Bicycle,2023,11/11/2023
1465,Car,2022,12/08/2022
1466,Bicycle,2013,20/10/2023
1467,Car,2015,20/11/2023
1468,Scooter,2017,07/07/2022
1469,E-bike,2015,04/01/2024
1470,Car,2015,22/03/2024
1471,E-bike,2018,02/09/2023
1472,Car,2021,25/10/2022
1473,E-bike,2014,07/08/2022
1474,Scooter,2019,20/04/2023
1475,Scooter,2017,21/03/2024
1476,E-bike,2019,30/11/2023
1477,E-bike,2014,06/10/2023
1478,Bicycle,2019,14/06/2023
1479,Scooter,2016,09/07/2022
1480,Scooter,2018,23/10/2022
1481,Scooter,2013,07/06/2023
1482,E-bike,2022,25/04/2023
1483,Walking,2019,19/05/2023
1484,E-bike,2019,10/04/2024
1485,E-bike,2019,10/04/2024
1486,E-bike,2015,01/01/2024
1487,Car,2023,28/09/2022
1488,E-bike,2021,02/11/2023
1489,Walking,2021,25/10/2023
1490,Scooter,2016,21/10/2023
1491,Car,2016,19/09/2023
1492,Bicycle,2017,12/01/2024
1493,Scooter,2020,01/10/2022
1494,Walking,2013,16/02/2024
1495,Scooter,2021,29/12/2022
1496,Scooter,2014,13/01/2023
1497,Car,2020,30/09/2023
1498,E-bike,2022,28/09/2023
1499,Car,2022,11/04/2024
1500,Bicycle,2021,11/01/2024
1501,Scooter,2014,04/07/2023
1502,Walking,2022,03/01/2023
1503,E-bike,2013,21/09/2023
1504,Scooter,2019,01/08/2023
1505,Car,2021,27/11/2023
1506,Car,2017,18/01/2023
1507,Bicycle,2014,25/04/2024
1508,E-bike,2023,18/11/2023
1509,Scooter,2022,05/12/2022
1510,Bicycle,2019,25/04/2024
1511,Car,2019,08/08/2023
1512,Car,2017,13/03/2023
1513,Bicycle,2017,09/08/2023
1514,E-bike,2018,18/10/2022
1515,Car,2017,12/05/2023
1516,Bicycle,2022,09/03/2024
1517,Car,2019,21/08/2023
1518,Bicycle,2019,29/08/2022
1519,Car,2018,17/10/2023
1520,E-bike,2019,28/05/2024
1521,E-bike,2023,18/04/2024
1522,Bicycle,2018,25/02/2024
1523,Car,2015,31/03/2024
1524,Car,2013,23/04/2023
1525,Bicycle,2015,12/03/2024
1526,Bicycle,2020,19/11/2022
1527,Scooter,2021,23/04/2024
1528,Walking,2013,26/05/2023
1529,Car,2018,28/10/2023
1530,Bicycle,2012,19/04/2024
1531,Bicycle,2014,03/10/2023
1532,Car,2012,12/07/2022
1533,Bicycle,2012,31/10/2022
1534,Car,2018,15/08/2022
1535,Bicycle,2020,03/07/2022
1536,Scooter,2017,20/04/2023
1537,E-bike,2020,29/10/2023
1538,E-bike,2012,10/05/2024
1539,Bicycle,2017,30/07/2023
1540,E-bike,2023,03/04/2023
1541,Bicycle,2019,18/01/2024
1542,Scooter,2022,11/01/2024
1543,Walking,2018,04/01/2024
1544,Car,2019,14/01/2023
1545,Scooter,2019,23/11/2022
1546,Scooter,2023,07/09/2022
1547,E-bike,2012,08/08/2023
1548,E-bike,2017,21/01/2023
1549,Car,2015,25/05/2023
1550,E-bike,2014,30/09/2022
1551,Car,2023,03/11/2022
1552,E-bike,2014,19/04/2023
1553,Scooter,2023,01/10/2022
1554,Car,2014,18/08/2023
1555,Car,2013,12/09/2022
1556,Scooter,2017,14/08/2023
1557,Bicycle,2019,15/02/2023
1558,Car,2012,27/10/2022
1559,E-bike,2015,13/08/2022
1560,E-bike,2014,14/07/2023
1561,Car,2019,03/07/2023
1562,Bicycle,2021,23/03/2023
1563,Walking,2023,14/11/2023
1564,Car,2013,13/08/2022
1565,Car,2015,27/05/2023
1566,Bicycle,2017,28/11/2022
1567,E-bike,2022,08/08/2023
1568,Walking,2016,14/10/2022
1569,Car,2014,03/10/2023
1570,Car,2018,23/10/2023
1571,Bicycle,2014,30/12/2023
1572,Car,2023,18/08/2022
1573,Bicycle,2013,03/12/2023
1574,Walking,2012,30/07/2023
1575,Scooter,2022,08/07/2023
1576,Bicycle,2013,24/10/2022
1577,Car,2022,03/11/2022
1578,Bicycle,2016,13/07/2022
1579,Car,2023,14/01/2024
1580,E-bike,2013,15/03/2023
1581,Bicycle,2017,21/11/2023
1582,Bicycle,2023,11/01/2023
1583,Bicycle,2014,30/12/2022
1584,E-bike,2017,26/08/2022
1585,Car,2021,15/10/2023
1586,Bicycle,2021,12/01/2024
1587,Bicycle,2014,06/11/2023
1588,E-bike,2018,08/07/2022
1589,Car,2019,17/11/2023
1590,Car,2023,29/12/2022
1591,Car,2015,06/11/2023
1592,Car,2012,27/04/2023
1593,Scooter,2017,25/01/2023
1594,Bicycle,2019,12/12/2022
1595,Car,2014,02/10/2022
1596,Car,2015,27/12/2023
1597,Bicycle,2018,19/09/2023
1598,Car,2018,03/07/2023
1599,E-bike,2017,10/02/2024
1600,Bicycle,2021,23/04/2023
1601,Bicycle,2012,04/04/2023
1602,Scooter,2023,27/10/2023
1603,E-bike,2013,03/12/2023
1604,E-bike,2015,03/04/2024
1605,E-bike,2022,09/04/2024
1606,E-bike,2012,20/10/2022
1607,E-bike,2018,21/12/2023
1608,Car,2020,18/05/2024
1609,Bicycle,2021,10/04/2023
1610,Scooter,2017,23/07/2022
1611,Walking,2022,13/05/2024
1612,Scooter,2018,22/11/2022
1613,Car,2022,28/02/2024
1614,E-bike,2016,02/10/2022
1615,E-bike,2020,25/10/2022
1616,Car,2018,03/01/2023
1617,Car,2018,21/04/2024
1618,Car,2022,07/05/2023
1619,Bicycle,2015,09/06/2023
1620,E-bike,2022,25/02/2023
1621,Car,2019,07/07/2023
1622,Car,2017,19/08/2022
1623,Car,2012,13/07/2022
1624,Bicycle,2022,07/06/2023
1625,Bicycle,2015,11/06/2023
1626,E-bike,2018,31/01/2023
1627,E-bike,2021,25/04/2023
1628,E-bike,2014,28/08/2022
1629,Bicycle,2022,26/10/2022
1630,Car,2023,11/12/2023
1631,E-bike,2020,22/05/2024
1632,Car,2013,15/07/2023
1633,Car,2023,12/05/2023
1634,Walking,2022,13/05/2023
1635,Car,2013,20/03/2024
1636,Scooter,2013,01/11/2023
1637,Car,2012,01/06/2023
1638,Scooter,2016,09/11/2023
1639,Car,2021,28/07/2023
1640,Bicycle,2014,25/03/2023
1641,Car,2022,07/06/2023
1642,Scooter,2023,22/11/2022
1643,E-bike,2012,13/10/2023
1644,Car,2017,23/01/2024
1645,Walking,2022,03/10/2022
1646,Car,2013,24/02/2023
1647,Scooter,2021,11/01/2024
1648,Bicycle,2022,21/08/2022
1649,E-bike,2020,20/07/2023
1650,Bicycle,2018,17/10/2023
1651,Car,2012,15/07/2023
1652,Scooter,2022,24/11/2022
1653,Car,2019,17/11/2022
1654,Bicycle,2012,09/12/2023
1655,Car,2023,08/01/2023
1656,E-bike,2017,31/03/2023
1657,Car,2018,27/08/2022
1658,Car,2020,08/10/2022
1659,Walking,2021,22/01/2023
1660,E-bike,2014,02/05/2023
1661,Car,2013,20/10/2022
1662,Scooter,2017,14/06/2023
1663,Scooter,2016,21/10/2022
1664,Car,2019,17/11/2023
1665,E-bike,2016,05/04/2023
1666,Scooter,2020,08/03/2023
1667,E-bike,2016,01/08/2023
1668,E-bike,2014,18/05/2023
1669,Scooter,2020,02/09/2023
1670,E-bike,2018,08/11/2022
1671,Scooter,2023,14/06/2023
1672,Scooter,2023,25/01/2024
1673,E-bike,2022,12/09/2022
1674,E-bike,2013,04/08/2022
1675,Car,2021,18/08/2022
1676,E-bike,2017,26/07/2022
1677,Car,2019,20/05/2023
1678,E-bike,2018,08/07/2022
1679,Car,2012,15/09/2022
1680,Car,2015,26/03/2024
1681,E-bike,2012,28/12/2023
1682,Scooter,2022,04/03/2024
1683,E-bike,2012,17/01/2024
1684,Scooter,2013,22/11/2022
1685,E-bike,2015,14/11/2022
1686,Bicycle,2013,02/10/2022
1687,Walking,2023,04/08/2022
1688,Car,2013,10/07/2022
1689,E-bike,2015,14/05/2024
1690,Bicycle,2023,25/11/2023
1691,E-bike,2019,22/04/2023
1692,Car,2012,12/04/2023
1693,Bicycle,2012,02/07/2023
1694,Car,2023,02/05/2024
1695,Car,2012,23/05/2024
1696,E-bike,2015,01/09/2023
1697,Car,2017,11/10/2022
1698,Bicycle,2019,30/09/2022
1699,E-bike,2013,12/12/2023
1700,E-bike,2012,05/11/2023
1701,Bicycle,2016,31/01/2024
1702,Bicycle,2021,08/11/2023
1703,Car,2017,20/07/2022
1704,Car,2012,11/10/2022
1705,Walking,2012,09/09/2022
1706,E-bike,2023,16/11/2023
1707,E-bike,2012,07/10/2022
1708,Car,2017,10/02/2023
1709,Bicycle,2023,13/12/2023
1710,E-bike,2018,25/06/2023
1711,Car,2012,02/11/2022
1712,Car,2022,27/10/2022
1713,E-bike,2019,03/02/2024
1714,Car,2013,12/01/2024
1715,Scooter,2013,08/04/2024
1716,Car,2014,09/07/2023
1717,Car,2021,20/03/2024
1718,E-bike,2013,22/05/2023
1719,Car,2021,14/11/2022
1720,Car,2019,27/01/2024
1721,Car,2018,23/08/2023
1722,Scooter,2017,20/03/2023
1723,Bicycle,2018,31/08/2022
1724,Bicycle,2019,22/12/2023
1725,E-bike,2022,12/03/2024
1726,Scooter,2013,15/05/2024
1727,Car,2023,28/10/2023
1728,Bicycle,2020,20/01/2023
1729,E-bike,2018,11/01/2024
1730,Bicycle,2023,22/05/2023
1731,Bicycle,2013,24/11/2022
1732,Bicycle,2019,20/09/2023
1733,Bicycle,2014,10/05/2024
1734,Bicycle,2020,03/08/2023
1735,E-bike,2017,26/11/2023
1736,Bicycle,2015,20/08/2022
1737,E-bike,2012,12/07/2022
1738,Bicycle,2022,09/01/2023
1739,Car,2022,30/09/2023
1740,E-bike,2019,09/06/2023
1741,Bicycle,2022,15/11/2022
1742,E-bike,2016,07/12/2023
1743,Scooter,2017,28/09/2022
1744,Walking,2019,22/09/2023
1745,Walking,2023,04/03/2024
1746,Bicycle,2014,26/11/2022
1747,Car,2014,05/01/2024
1748,Scooter,2019,08/05/2024
1749,Bicycle,2013,10/12/2023
1750,E-bike,2021,29/08/2022
1751,Scooter,2016,12/01/2023
1752,Car,2020,23/06/2023
1753,Bicycle,2015,30/10/2023
1754,E-bike,2023,15/09/2022
1755,Scooter,2023,03/01/2023
1756,Walking,2021,01/01/2024
1757,Bicycle,2015,19/01/2023
1758,Bicycle,2012,27/08/2022
1759,Bicycle,2017,17/10/2023
1760,Walking,2015,23/02/2024
1761,E-bike,2012,21/12/2022
1762,Bicycle,2015,02/03/2024
1763,Walking,2018,28/09/2022
1764,Walking,2020,22/10/2022
1765,Scooter,2015,27/07/2023
1766,Scooter,2013,22/08/2022
1767,Bicycle,2020,28/07/2023
1768,Car,2017,04/02/2023
1769,E-bike,2021,19/04/2023
1770,Walking,2015,29/03/2023
1771,E-bike,2017,11/03/2024
1772,E-bike,2016,19/12/2022
1773,E-bike,2022,28/01/2023
1774,Walking,2019,14/03/2023
1775,Walking,2012,04/02/2023
1776,Car,2013,22/04/2024
1777,Car,2022,30/01/2024
1778,E-bike,2020,21/12/2022
1779,Car,2019,01/11/2022
1780,Car,2017,21/08/2022
1781,Bicycle,2015,18/10/2022
1782,Walking,2014,16/10/2023
1783,Walking,2022,05/04/2024
1784,Scooter,2017,04/08/2022
1785,Walking,2019,29/08/2023
1786,Scooter,2021,26/10/2022
1787,Car,2019,23/01/2024
1788,Car,2020,07/01/2024
1789,Car,2014,26/12/2022
1790,Car,2019,20/10/2022
1791,Bicycle,2020,15/10/2022
1792,Car,2023,15/07/2023
1793,E-bike,2016,20/12/2022
1794,Car,2020,04/02/2024
1795,Bicycle,2017,15/11/2022
1796,Scooter,2013,27/12/2022
