courier_id,city,vehicle_type,vehicle_age_years,days_since_service,age,tenure_days,rating,total_earnings,number_of_orders,number_of_five_star_orders,on_time_rate,courier_tier
5032,Boston,Car,7,368,55,488,4.08,9775.11,34,9,0.6471,Standard
5033,Austin,E-bike,6,104,59,216,4.16,13640.56,20,6,0.65,Gold
5034,Austin,E-bike,10,360,35,140,3.69,5309.4,27,5,0.4444,Standard
5035,Seattle,Bicycle,8,284,45,1234,4.49,17405.66,22,14,0.7727,Gold
5036,Denver,Car,9,49,28,1714,4.14,12728.84,26,1,0.4615,Standard
5037,Seattle,E-bike,2,628,28,1251,4.29,15415.84,31,10,0.7419,Standard
5038,Chicago,Walking,3,527,36,870,4.39,10463.47,34,7,0.7059,Standard
5039,Seattle,E-bike,11,108,22,69,4.2,10411.43,34,13,0.5588,Standard
5040,Seattle,Car,11,658,24,1689,4.73,22678.06,35,26,0.9429,Gold
5041,Seattle,Bicycle,7,338,45,230,3.96,7992.09,25,5,0.52,Standard
5042,Seattle,E-bike,3,242,52,1554,4.59,17469.96,20,8,0.8,Standard
5043,Chicago,Bicycle,8,647,19,524,4.85,15995.7,28,18,0.9286,Gold
5044,Denver,E-bike,9,298,56,589,4.55,14863.35,35,18,0.6857,Gold
5045,Chicago,Walking,3,9,38,1431,5.0,21948.9,28,26,0.9286,Gold
5046,Seattle,Walking,12,498,36,414,4.55,11910.48,19,6,0.7368,Gold
5047,Boston,E-bike,5,468,33,218,4.35,10006.49,30,12,0.7333,Standard
5048,Chicago,Car,2,586,60,490,4.37,14928.33,38,19,0.7105,Gold
5049,Chicago,E-bike,4,317,56,872,4.21,12557.69,27,2,0.4815,Standard
5050,Denver,Scooter,5,310,55,208,4.77,14603.48,29,20,0.7241,Gold
5051,Austin,Bicycle,9,295,46,1421,4.12,16061.18,24,9,0.5833,Standard
5052,Boston,E-bike,2,378,49,763,4.15,11587.29,37,10,0.7297,Standard
5053,Denver,Car,2,231,20,1124,4.05,12027.1,31,6,0.4839,Standard
5054,Austin,Car,4,118,34,1571,5.0,22797.38,27,23,0.9259,Gold
5055,Denver,Scooter,5,541,19,857,4.07,11977.28,38,4,0.5526,Standard
5056,Denver,Car,5,238,27,286,4.5,12548.91,24,14,0.75,Gold
5057,Seattle,Bicycle,7,643,37,1188,4.24,17423.24,23,7,0.9565,Gold
5058,Chicago,E-bike,10,675,55,1222,5.0,20232.9,18,14,1.0,Gold
5059,Boston,E-bike,4,289,31,1110,4.23,12968.38,27,2,0.5556,Standard
5060,Chicago,Car,6,513,53,1382,4.56,20101.93,28,15,0.8571,Gold
5061,Boston,Scooter,10,254,29,1251,4.24,13173.64,25,8,0.56,Standard
5062,Seattle,E-bike,12,598,21,886,4.3,12204.94,29,4,0.6897,Standard
5063,Boston,E-bike,11,181,20,1083,4.61,16417.79,24,11,0.75,Gold
5064,Boston,E-bike,9,456,18,225,4.6,12297.4,31,10,0.7097,Gold
5065,Austin,E-bike,6,543,45,491,4.66,12920.48,32,15,0.9062,Gold
5066,Boston,Scooter,12,602,36,823,5.0,16658.05,26,19,0.8846,Gold
5067,Boston,Bicycle,12,162,32,789,3.69,8956.4,24,0,0.25,Standard
5068,Chicago,Scooter,11,670,48,1264,4.97,20857.15,30,22,0.9333,Gold
5069,Chicago,Car,2,215,40,1488,5.0,22491.45,27,22,0.9259,Gold
5070,Seattle,Scooter,5,569,51,288,3.57,7541.35,18,1,0.5,Standard
5071,Chicago,Car,3,22,31,1086,4.8,18204.59,21,13,0.7619,Gold
5072,Chicago,Scooter,12,49,39,1663,4.21,15467.84,30,5,0.5333,Standard
5073,Seattle,E-bike,8,336,34,1606,4.51,17359.46,35,12,0.7143,Gold
5074,Seattle,Walking,4,426,39,262,4.25,11529.82,27,2,0.5926,Standard
5075,Austin,E-bike,2,12,20,665,4.81,13400.91,34,22,0.8824,Gold
5076,Boston,Bicycle,7,135,20,859,4.6,15226.39,40,20,0.725,Gold
5077,Seattle,Walking,8,564,29,382,4.57,13497.35,33,10,0.5455,Gold
5078,Austin,Bicycle,2,43,48,1268,4.61,16180.84,36,11,0.6944,Gold
5079,Austin,Bicycle,7,477,23,1203,4.19,10838.85,19,4,0.4737,Standard
5080,Chicago,E-bike,8,191,27,819,4.32,14185.76,25,9,0.4,Standard
5081,Chicago,Car,4,459,60,395,3.63,7940.82,25,3,0.64,Standard
5082,Denver,Car,4,245,39,1596,3.99,14232.43,31,3,0.5161,Standard
5083,Seattle,Bicycle,4,498,37,1682,4.5,18906.98,38,30,0.8421,Gold
5084,Austin,E-bike,12,54,50,708,3.93,9371.04,40,2,0.45,Standard
5085,Denver,E-bike,5,107,40,1438,4.42,17906.53,27,14,0.7407,Gold
5086,Denver,Car,1,275,38,753,4.14,12178.68,29,6,0.5517,Standard
5087,Austin,Car,11,40,31,533,4.23,14832.89,27,7,0.8148,Gold
5088,Denver,Scooter,11,5,18,1551,4.31,13465.17,27,4,0.4074,Standard
5089,Chicago,Scooter,8,68,49,1755,4.49,15969.57,30,14,0.7333,Gold
5090,Austin,Car,8,568,51,1480,4.75,16715.49,35,16,0.6286,Gold
5091,Boston,Walking,9,44,33,924,4.64,14378.8,30,14,0.6,Gold
5092,Austin,Scooter,2,305,44,954,4.19,13717.78,32,5,0.5938,Standard
5093,Seattle,Car,12,5,40,387,3.84,7565.62,38,5,0.5263,Standard
5094,Boston,E-bike,6,229,35,1708,4.0,15102.46,34,4,0.5588,Standard
5095,Chicago,Car,2,511,49,1079,4.57,16843.83,16,11,0.875,Gold
5096,Denver,E-bike,1,60,46,1302,4.71,15573.84,27,11,0.6296,Gold
5097,Seattle,Car,9,657,31,865,4.1,10892.91,30,4,0.3667,Standard
5098,Denver,Bicycle,11,436,59,635,4.71,16488.13,25,15,0.8,Gold
5099,Austin,Car,7,239,36,959,3.38,10640.72,22,2,0.3182,Standard
5100,Austin,Bicycle,11,16,20,962,4.06,13132.52,24,7,0.5,Standard
5101,Denver,E-bike,9,658,24,1412,4.18,14033.15,36,11,0.6667,Standard
5102,Austin,Scooter,1,147,26,136,3.9,7386.22,42,7,0.5714,Standard
5103,Denver,Car,8,476,61,375,4.19,13366.31,26,15,0.8462,Gold
5104,Boston,Car,10,207,59,936,4.86,15441.61,31,19,0.6452,Gold
5105,Denver,E-bike,4,10,34,904,3.94,11147.68,37,5,0.6757,Standard
5106,Austin,Car,7,264,39,1722,4.09,14727.53,20,1,0.65,Standard
5107,Boston,Walking,1,125,60,1635,3.97,12423.57,19,0,0.6316,Standard
5108,Denver,Car,8,587,39,428,4.25,11871.15,30,4,0.5333,Standard
5109,Seattle,Bicycle,10,208,40,561,4.48,14677.72,29,16,0.7931,Gold
5110,Seattle,Bicycle,9,313,31,1741,4.8,18790.15,27,14,0.8148,Gold
5111,Chicago,Scooter,2,528,42,943,4.2,14347.64,36,10,0.6944,Standard
5112,Seattle,E-bike,6,56,21,1600,4.51,19747.95,29,14,0.5517,Gold
5113,Boston,Bicycle,7,510,24,1518,3.88,14782.81,29,11,0.6897,Standard
5114,Denver,Walking,9,558,40,1137,4.46,16429.03,26,6,0.7308,Standard
5115,Denver,E-bike,10,7,57,1627,4.3,16800.17,23,8,0.5652,Standard
5116,Chicago,Car,1,582,24,457,4.59,10152.34,30,6,0.6,Standard
5117,Denver,Car,8,550,35,424,4.98,17446.33,31,25,0.9677,Gold
5118,Denver,Car,10,138,41,173,4.4,9933.06,39,9,0.641,Standard
5119,Seattle,Car,7,188,46,899,4.46,16134.42,19,7,0.4737,Gold
5120,Austin,E-bike,5,153,39,157,3.99,8721.7,26,6,0.7692,Standard
5121,Austin,Bicycle,11,460,38,780,4.83,17885.04,21,14,0.8095,Gold
5122,Boston,Car,11,85,40,1336,3.72,9013.51,27,0,0.5556,Standard
5123,Seattle,Car,6,395,22,457,3.82,9214.75,31,1,0.4839,Standard
5124,Boston,Bicycle,5,502,53,852,4.63,13225.71,30,12,0.6,Standard
5125,Denver,E-bike,7,320,54,706,4.71,16668.91,27,18,0.8148,Gold
5126,Denver,Car,7,173,37,1562,4.4,15694.34,29,11,0.6552,Standard
5127,Chicago,Car,5,494,25,1019,4.37,13190.58,34,9,0.6176,Standard
5128,Seattle,Bicycle,5,37,51,80,4.77,11759.84,31,10,0.7419,Gold
5129,Seattle,Car,2,237,57,1453,4.45,15033.01,22,5,0.5,Standard
5130,Boston,Bicycle,5,113,52,1258,3.8,13324.32,34,4,0.5882,Standard
5131,Boston,Scooter,11,522,53,552,4.15,10501.58,25,4,0.52,Standard
5132,Denver,Car,8,63,39,724,4.24,12464.97,26,5,0.6538,Standard
5133,Boston,Walking,10,673,26,1641,4.28,17666.01,26,12,0.6538,Standard
5134,Denver,Bicycle,10,242,59,988,4.09,15311.76,32,9,0.625,Standard
5135,Denver,Car,3,106,31,165,5.0,14887.78,26,18,0.8462,Gold
5136,Seattle,Car,2,549,36,1145,4.02,11993.01,34,7,0.5882,Standard
5137,Austin,Bicycle,2,273,38,555,4.81,16378.22,28,19,0.8929,Gold
5138,Chicago,Walking,8,596,38,583,3.84,10349.79,24,3,0.6667,Standard
5139,Chicago,Car,4,140,35,637,4.03,9585.74,28,4,0.7143,Standard
5140,Seattle,Scooter,12,269,35,268,4.22,10472.92,26,9,0.5769,Standard
5141,Seattle,Scooter,5,341,51,847,3.9,9718.45,30,4,0.5333,Standard
5142,Seattle,E-bike,12,136,43,910,4.54,17597.14,25,15,0.64,Gold
5143,Seattle,E-bike,5,4,18,1780,3.8,14558.05,28,4,0.5714,Standard
5144,Chicago,Bicycle,6,603,20,487,3.7,8357.06,26,2,0.4615,Standard
5145,Seattle,Bicycle,2,388,58,1308,4.43,15847.91,27,9,0.8148,Gold
5146,Denver,E-bike,9,484,38,468,4.05,10212.01,35,5,0.5429,Standard
5147,Chicago,Car,3,207,44,1128,4.14,14092.63,31,10,0.7419,Standard
5148,Austin,Walking,12,370,53,686,4.78,16940.84,24,17,0.7917,Gold
5149,Chicago,Walking,1,623,38,229,3.64,5066.88,27,2,0.5185,Standard
5150,Boston,Bicycle,2,205,48,898,4.71,15716.96,28,11,0.6786,Gold
5151,Seattle,E-bike,10,311,36,494,4.35,13705.73,27,11,0.7037,Gold
5152,Chicago,Bicycle,9,420,60,579,3.99,9116.93,27,3,0.5185,Standard
5153,Boston,Walking,3,220,20,1778,4.68,17202.14,27,13,0.6667,Gold
5154,Chicago,Car,6,311,26,1578,5.0,21627.71,31,26,0.9032,Gold
5155,Chicago,Bicycle,10,557,52,536,4.81,14601.8,32,15,0.9062,Gold
5156,Seattle,Scooter,3,30,21,1669,4.61,17048.79,31,11,0.7419,Gold
5157,Chicago,E-bike,1,262,18,331,4.23,9003.72,26,7,0.5385,Standard
5158,Chicago,Car,7,541,33,197,4.09,9848.63,27,5,0.6667,Standard
5159,Seattle,Bicycle,12,579,33,35,3.58,4020.45,36,0,0.2778,Standard
5160,Austin,E-bike,10,137,32,536,4.25,13907.32,25,15,0.84,Gold
5161,Seattle,Car,6,356,32,331,4.2,10550.3,38,12,0.7105,Standard
5162,Seattle,E-bike,11,145,42,1054,3.86,8486.35,22,4,0.5455,Standard
5163,Seattle,Car,5,126,37,860,4.13,11574.25,35,13,0.5714,Standard
5164,Boston,E-bike,8,67,21,468,4.68,11960.68,36,17,0.7222,Gold
5165,Seattle,E-bike,9,348,40,1444,4.62,14482.11,23,6,0.7826,Standard
5166,Seattle,E-bike,11,690,61,1579,4.73,16990.93,37,18,0.5676,Gold
5167,Boston,Car,2,6,26,1121,4.61,13067.31,26,8,0.7692,Standard
5168,Chicago,Bicycle,3,234,47,538,3.97,7517.69,30,0,0.5,Standard
5169,Chicago,Bicycle,11,177,39,905,4.41,14217.35,23,7,0.6087,Standard
5170,Seattle,E-bike,9,425,56,1398,4.3,15828.33,35,8,0.7143,Standard
5171,Chicago,Scooter,11,292,38,1337,5.0,21745.58,25,19,0.92,Gold
5172,Boston,E-bike,11,473,21,692,4.3,12289.17,29,8,0.7586,Standard
5173,Chicago,E-bike,10,651,48,1388,4.74,17651.57,32,22,0.8438,Gold
5174,Austin,Scooter,8,632,28,404,4.66,11205.09,32,10,0.7188,Standard
5175,Seattle,E-bike,10,601,41,490,4.44,12612.87,35,7,0.6,Standard
5176,Seattle,Bicycle,6,573,29,707,4.55,16074.85,37,18,0.7027,Gold
5177,Boston,E-bike,7,185,61,513,3.96,11615.73,34,8,0.5294,Standard
5178,Denver,Car,4,541,50,1699,4.2,15049.89,22,4,0.7273,Standard
5179,Austin,E-bike,11,654,27,666,3.78,8371.7,23,5,0.5217,Standard
5180,Seattle,Walking,11,497,28,1053,4.3,14666.93,28,11,0.5714,Gold
5181,Austin,Walking,7,375,31,1469,4.02,13267.15,21,2,0.5714,Standard
5182,Boston,Walking,1,268,55,597,4.7,14473.77,35,20,0.8286,Gold
5183,Austin,Walking,3,507,49,258,4.09,8685.87,32,5,0.5938,Standard
5184,Chicago,Scooter,11,73,21,1474,4.36,17175.16,24,11,0.8333,Standard
5185,Seattle,Car,9,141,31,399,4.27,12199.44,25,8,0.72,Gold
5186,Denver,E-bike,6,429,19,351,4.07,8921.64,29,10,0.6897,Standard
5187,Boston,Bicycle,8,232,61,1127,4.48,18762.43,40,18,0.775,Gold
5188,Austin,Car,7,390,51,830,4.44,13191.37,27,16,0.6667,Gold
5189,Boston,Scooter,4,206,40,1064,4.26,16050.87,22,8,0.7727,Standard
5190,Seattle,Walking,3,230,18,199,4.14,7852.13,19,4,0.5263,Standard
5191,Austin,E-bike,8,305,36,1455,4.39,16639.05,32,12,0.7188,Gold
5192,Boston,Scooter,12,191,60,1582,3.72,12268.07,28,2,0.3214,Standard
5193,Austin,Car,2,281,62,985,4.94,17721.52,28,23,0.8214,Gold
5194,Chicago,E-bike,7,7,51,407,4.71,12646.38,32,14,0.8125,Gold
5195,Seattle,Walking,9,660,23,1538,4.16,16277.03,27,11,0.5926,Standard
5196,Seattle,Walking,9,637,44,1329,4.49,17164.93,36,16,0.75,Gold
5197,Denver,Car,4,598,21,1663,4.55,17628.52,26,11,0.7692,Gold
5198,Austin,Car,5,360,49,857,4.82,14489.28,23,9,0.7391,Gold
5199,Boston,E-bike,7,428,18,1474,4.49,12389.87,19,3,0.6316,Standard
5200,Boston,E-bike,5,333,43,1172,4.65,15997.19,34,17,0.8529,Gold
5201,Denver,Scooter,4,642,28,579,4.17,10432.03,38,6,0.6579,Standard
5202,Boston,E-bike,3,340,43,44,4.14,9570.98,27,5,0.7037,Standard
5203,Austin,Car,7,617,22,823,4.05,8646.02,30,4,0.6,Standard
5204,Austin,E-bike,2,526,36,800,4.58,17518.62,27,18,0.8519,Gold
5205,Boston,Bicycle,5,182,28,897,4.15,12996.42,26,3,0.6538,Standard
5206,Boston,Bicycle,12,674,59,1496,4.67,18645.02,36,15,0.8056,Gold
5207,Austin,E-bike,1,524,52,427,3.67,5251.48,24,0,0.2083,Standard
5208,Denver,Car,12,586,24,247,4.5,9658.58,28,4,0.7143,Standard
5209,Boston,E-bike,12,266,53,1430,4.52,17900.45,19,9,0.7368,Gold
5210,Seattle,Bicycle,2,655,51,686,4.31,10616.74,30,9,0.7,Standard
5211,Boston,Scooter,11,58,57,642,4.33,13644.79,40,8,0.625,Standard
5212,Seattle,Bicycle,2,224,51,763,4.38,13552.2,39,13,0.6667,Standard
5213,Chicago,E-bike,12,603,52,661,4.15,10148.27,31,5,0.6452,Standard
5214,Austin,Scooter,9,132,30,708,4.34,12176.23,28,5,0.4286,Standard
5215,Austin,E-bike,5,631,27,469,4.73,14294.62,30,20,0.9,Gold
5216,Austin,Bicycle,7,19,47,1210,4.44,14819.06,27,10,0.7778,Gold
5217,Denver,Walking,5,352,29,613,4.18,9323.19,32,8,0.5625,Standard
5218,Austin,Bicycle,5,560,46,1633,4.19,14056.14,27,4,0.6667,Standard
5219,Chicago,Car,8,558,26,339,4.4,11963.62,35,14,0.7143,Gold
5220,Boston,Scooter,2,174,40,128,3.97,7709.53,28,2,0.5,Standard
5221,Boston,Walking,1,519,36,648,4.99,16549.92,25,19,0.88,Gold
5222,Austin,Bicycle,7,551,52,1604,3.71,13789.99,35,7,0.3714,Standard
5223,Chicago,Car,1,595,63,1504,4.1,17698.11,18,4,0.8333,Standard
5224,Seattle,Car,3,211,39,271,4.28,10365.81,20,6,0.7,Standard
5225,Denver,Scooter,10,333,31,1565,4.28,13064.87,25,6,0.48,Standard
5226,Boston,Car,5,381,28,1510,4.4,19204.68,35,24,0.8571,Gold
5227,Chicago,Scooter,6,557,49,1171,4.58,13825.94,31,11,0.6129,Standard
5228,Boston,Scooter,3,167,29,1540,4.97,19424.44,35,19,0.8571,Gold
5229,Chicago,Bicycle,10,380,60,178,4.0,7050.89,23,3,0.5217,Standard
5230,Austin,Car,4,290,18,992,3.83,11975.63,30,5,0.6,Standard
5231,Austin,Car,1,30,41,605,3.5,7690.56,30,0,0.5667,Standard
5232,Austin,Walking,3,521,18,1148,4.44,17485.49,34,22,0.7941,Gold
5233,Chicago,Bicycle,4,162,31,919,4.29,13061.66,33,13,0.6667,Standard
5234,Austin,E-bike,6,404,25,86,4.46,11109.65,29,14,0.7931,Gold
5235,Denver,E-bike,10,138,42,40,4.27,7247.38,26,7,0.5769,Standard
5236,Denver,Car,3,60,49,455,4.91,18649.39,32,21,0.8125,Gold
5237,Austin,Bicycle,4,481,19,1234,4.21,12033.49,29,6,0.7586,Standard
5238,Seattle,Walking,4,457,23,1356,4.35,16233.8,31,12,0.6452,Standard
5239,Seattle,E-bike,12,334,54,258,4.51,14069.34,26,10,0.6923,Gold
5240,Seattle,E-bike,3,404,19,587,4.54,12437.16,28,11,0.8214,Gold
5241,Austin,E-bike,9,647,57,1213,4.49,14322.82,32,13,0.75,Gold
5242,Denver,Bicycle,4,595,32,626,4.59,12318.63,29,10,0.6552,Gold
5243,Austin,E-bike,5,236,23,314,4.57,12012.29,31,15,0.8387,Gold
5244,Boston,Car,2,380,26,431,4.7,12421.39,34,22,0.7941,Gold
5245,Denver,Car,2,361,57,317,3.88,8128.76,27,4,0.5556,Standard
5246,Boston,Bicycle,10,423,44,1314,4.71,15601.97,25,16,0.88,Gold
5247,Denver,Car,12,21,21,201,4.67,12347.39,31,10,0.7419,Gold
5248,Denver,Car,9,36,61,165,4.06,10243.33,36,14,0.6667,Standard
5249,Denver,Car,8,88,60,828,4.35,13339.05,20,6,0.65,Gold
5250,Seattle,Bicycle,8,135,18,1407,4.42,15420.29,29,10,0.7241,Standard
5251,Chicago,Scooter,11,343,48,894,4.94,17928.4,26,19,0.8077,Gold
5252,Chicago,Car,9,313,34,1490,5.0,21201.17,20,11,0.9,Gold
5253,Boston,Bicycle,1,298,56,1318,4.37,14401.38,22,12,0.5909,Standard
5254,Seattle,Car,7,14,60,1589,3.95,11997.48,25,0,0.4,Standard
5255,Chicago,E-bike,12,590,22,1116,4.24,12666.35,29,9,0.7241,Standard
5256,Austin,Bicycle,10,471,18,1203,3.69,10295.65,28,1,0.3571,Standard
5257,Seattle,Walking,11,671,55,248,4.26,11281.86,23,8,0.6957,Standard
5258,Seattle,Scooter,5,10,58,1699,4.56,17182.04,22,7,0.6364,Standard
5259,Austin,Car,4,278,29,547,4.72,13937.83,22,14,0.8182,Gold
5260,Chicago,Scooter,9,437,51,1768,3.93,15861.75,34,7,0.5882,Standard
5261,Chicago,Scooter,2,487,46,765,4.19,11239.67,27,10,0.6667,Standard
5262,Austin,Car,8,348,46,855,4.69,13698.99,25,9,0.6,Gold
5263,Chicago,Car,4,9,28,199,4.55,9123.92,20,7,0.65,Standard
5264,Denver,Car,8,506,57,1402,4.0,12891.87,24,5,0.5833,Standard
5265,Austin,E-bike,1,76,18,1403,4.49,15963.16,36,11,0.6667,Standard
5266,Denver,E-bike,5,52,54,244,3.91,8056.78,29,4,0.5517,Standard
5267,Chicago,Scooter,6,532,28,1165,4.19,17433.61,44,18,0.6364,Gold
5268,Seattle,E-bike,4,440,57,1480,3.93,13208.08,20,6,0.55,Standard
5269,Boston,Car,1,355,50,1788,3.99,15362.34,33,7,0.4242,Standard
5270,Boston,Car,8,48,59,1087,4.04,12982.12,35,5,0.6286,Standard
5271,Denver,E-bike,5,365,29,902,4.01,13802.63,22,3,0.5909,Standard
5272,Austin,E-bike,10,643,41,1725,4.88,20606.85,27,15,0.9259,Gold
5273,Seattle,Car,11,642,29,1520,4.52,17710.6,22,9,0.6818,Gold
5274,Denver,E-bike,7,112,46,1097,4.49,12899.14,29,7,0.5862,Standard
5275,Austin,Car,11,120,36,753,3.52,7745.76,26,2,0.4231,Standard
5276,Seattle,E-bike,9,535,45,567,3.93,6653.14,29,0,0.4828,Standard
5277,Seattle,Walking,8,431,20,753,4.08,10418.78,25,4,0.6,Standard
5278,Seattle,Car,7,671,28,1342,4.02,11704.75,34,4,0.4118,Standard
5279,Denver,Car,8,430,48,723,3.98,11832.84,33,10,0.6667,Standard
5280,Seattle,Car,5,99,52,667,3.96,7156.65,21,1,0.5238,Standard
5281,Chicago,Car,11,41,48,836,4.51,14392.07,37,19,0.6757,Gold
5282,Austin,Scooter,5,508,43,1368,4.61,17925.8,22,13,0.8636,Gold
5283,Austin,E-bike,7,667,50,714,4.42,15085.42,31,9,0.7097,Gold
5284,Seattle,Bicycle,11,386,55,1562,4.49,14360.87,27,8,0.6667,Standard
5285,Chicago,Bicycle,10,614,47,1678,4.46,19738.69,34,25,0.7059,Gold
5286,Austin,E-bike,7,48,53,1182,4.67,16859.06,28,15,0.75,Gold
5287,Seattle,E-bike,11,50,34,395,4.99,16169.66,23,17,0.913,Gold
5288,Seattle,Scooter,3,585,21,1306,3.81,14303.68,34,5,0.6471,Standard
5289,Chicago,E-bike,6,699,60,1317,3.97,14091.75,24,3,0.5417,Standard
5290,Chicago,E-bike,7,179,19,1629,4.18,11306.01,31,2,0.5806,Standard
5291,Denver,E-bike,6,374,44,938,4.44,13263.13,32,11,0.625,Gold
5292,Seattle,Bicycle,12,630,48,425,4.2,9678.36,34,3,0.6176,Standard
5293,Denver,Car,10,524,58,715,4.29,14016.85,29,11,0.7586,Standard
5294,Denver,Bicycle,1,78,32,78,4.58,12962.64,23,12,0.6522,Gold
5295,Boston,Scooter,7,648,47,1629,4.26,17258.66,29,6,0.7931,Gold
5296,Seattle,Walking,1,95,63,105,4.27,9368.9,25,8,0.76,Standard
5297,Austin,Scooter,3,610,25,1303,4.37,15992.57,32,14,0.75,Gold
5298,Seattle,Bicycle,7,133,33,1660,4.43,15427.66,27,5,0.7037,Standard
5299,Austin,E-bike,5,292,22,538,4.66,13755.15,34,20,0.7647,Gold
5300,Austin,Bicycle,10,519,49,1448,3.9,13559.91,32,8,0.5,Standard
5301,Boston,E-bike,1,538,23,1767,4.36,16171.11,31,14,0.7419,Standard
5302,Seattle,E-bike,10,268,41,809,4.56,13007.74,18,4,0.6667,Standard
5303,Boston,Bicycle,4,619,30,611,3.63,8988.1,28,4,0.5714,Standard
5304,Boston,Car,5,533,49,1178,4.76,16527.06,21,10,0.5238,Gold
5305,Chicago,Car,9,210,47,945,4.62,13237.81,22,5,0.6818,Standard
5306,Seattle,Scooter,5,146,52,433,3.92,6006.32,32,2,0.4688,Standard
5307,Chicago,Scooter,3,564,29,1641,3.99,14281.33,29,4,0.5517,Standard
5308,Austin,Car,3,587,51,327,4.15,11491.18,34,8,0.4412,Standard
5309,Chicago,Bicycle,10,434,53,1326,4.12,13765.02,28,7,0.5714,Standard
5310,Denver,E-bike,7,181,48,1429,4.47,16098.2,31,15,0.6452,Standard
5311,Boston,Bicycle,9,384,59,937,3.81,10659.09,16,3,0.5625,Standard
5312,Boston,Car,12,478,26,1069,4.26,12710.74,26,12,0.6923,Standard
5313,Denver,Bicycle,12,584,44,1774,4.53,18985.48,30,16,0.8333,Gold
5314,Seattle,Bicycle,2,697,48,1775,4.38,15809.98,32,5,0.6875,Standard
5315,Seattle,Car,9,492,61,940,4.28,12519.21,33,10,0.5758,Standard
5316,Seattle,Car,1,197,48,1399,4.09,14981.41,31,15,0.6452,Standard
5317,Boston,E-bike,11,605,42,1495,4.74,20813.75,24,14,0.7917,Gold
5318,Chicago,E-bike,5,323,30,143,4.64,10486.03,23,12,0.6957,Gold
5319,Austin,Bicycle,4,174,41,56,4.45,10734.28,47,18,0.766,Gold
5320,Denver,Bicycle,5,548,38,392,4.61,13999.16,22,14,0.9091,Gold
5321,Boston,Bicycle,10,623,47,411,4.29,11502.93,28,3,0.7143,Standard
5322,Boston,E-bike,12,468,55,1586,3.93,14732.32,34,8,0.5588,Standard
5323,Austin,Scooter,8,154,51,785,4.73,15672.75,31,17,0.7419,Gold
5324,Seattle,Car,5,166,38,1601,4.8,19189.07,24,8,0.8333,Gold
5325,Chicago,Scooter,8,90,20,1497,4.7,18809.02,24,12,0.8333,Gold
5326,Seattle,Car,10,23,41,1139,4.69,16387.0,39,27,0.8205,Gold
5327,Seattle,Car,12,636,48,602,4.41,12436.17,32,8,0.6562,Standard
