driver_id,car_id,age,started_driving_year,second_language,rating,net_worth_of_tips,driver_class
361,1025,35,2008,no,4.31,387.09,B class
362,2103,37,2006,Spanish,4.89,1129.77,A class
363,720,34,2009,no,4.22,583.65,B class
364,1175,45,2021,Russian,4.82,658.16,A class
365,2203,53,2016,Mandarin,4.52,809.03,A class
366,653,23,2020,no,4.6,785.35,B class
367,133,43,2010,no,4.18,445.59,B class
368,1293,51,2015,Mandarin,4.65,370.5,B class
369,1679,52,2016,no,4.48,516.39,B class
370,2671,47,2021,French,4.06,460.22,B class
371,687,45,2015,no,4.51,910.72,A class
372,1062,53,2013,no,4.54,752.44,A class
373,185,38,2013,no,5.0,1023.18,A class
374,226,47,2010,Mandarin,4.34,797.74,A class
375,961,36,2017,Russian,3.8,96.46,B class
376,1776,41,2018,Arabic,4.6,983.59,A class
377,2124,26,2017,no,3.91,477.43,B class
378,155,37,2013,French,5.0,1041.72,A class
379,2566,27,2017,no,4.76,1008.26,A class
380,547,31,2012,Spanish,4.16,804.47,B class
381,2925,40,2010,Portuguese,4.28,1141.35,A class
382,2498,44,2009,no,4.11,436.95,B class
383,1083,65,2018,Russian,4.38,595.0,B class
384,1208,22,2021,no,4.46,823.78,A class
385,2338,63,2019,no,4.79,1011.51,A class
386,2955,36,2007,no,4.99,642.86,A class
387,2297,55,2013,Arabic,4.56,725.98,A class
388,379,52,2013,no,5.0,1153.9,A class
389,2839,66,2014,French,4.49,381.21,B class
390,2874,26,2017,no,3.65,125.56,B class
391,838,66,2007,Mandarin,4.09,359.23,B class
392,2950,23,2020,Spanish,5.0,984.14,A class
393,1740,62,2020,no,4.24,723.91,B class
394,2023,51,2009,Mandarin,4.44,802.91,A class
395,2916,43,2017,Mandarin,4.31,666.95,B class
396,1982,39,2021,no,3.94,516.81,B class
397,2868,25,2018,no,3.91,375.25,B class
398,1576,58,2016,no,4.44,727.8,A class
399,2678,55,2009,Portuguese,4.53,787.44,A class
400,2036,65,2019,Spanish,4.58,879.01,A class
401,2625,55,2015,French,4.71,742.73,A class
402,1232,65,2014,Mandarin,4.16,487.21,B class
403,944,62,2020,French,3.73,372.16,B class
404,1997,41,2002,no,4.06,455.88,B class
405,2563,54,2016,no,5.0,1459.99,A class
406,788,33,2010,Spanish,4.92,962.55,A class
407,76,58,2009,no,4.64,907.1,A class
408,1595,49,2013,no,4.21,608.33,B class
409,831,41,2009,Spanish,4.73,678.6,A class
410,2723,50,2009,Arabic,4.06,492.06,B class
411,2568,34,2021,Spanish,4.07,508.04,B class
412,2492,50,2007,no,4.25,411.55,B class
413,694,43,2021,Russian,4.57,1184.71,A class
414,1876,36,2013,no,4.57,777.45,A class
415,1520,66,2014,no,3.91,550.0,B class
416,1519,23,2020,Russian,4.23,570.48,B class
417,2746,56,2022,French,4.69,836.97,A class
418,477,30,2013,Portuguese,4.53,541.85,B class
419,2085,31,2013,French,4.27,819.3,A class
420,1529,28,2022,Spanish,4.43,686.33,A class
421,2018,25,2023,no,4.3,617.25,A class
422,1887,26,2017,no,4.26,913.11,A class
423,2034,60,2007,Portuguese,4.31,598.31,B class
424,2153,64,2010,Arabic,4.3,516.5,B class
425,2223,48,2005,no,3.82,290.56,B class
426,990,21,2022,no,3.77,486.98,B class
427,2310,61,2002,no,4.3,647.12,A class
428,2227,49,1999,no,4.84,1185.4,A class
429,373,45,2001,Arabic,4.29,522.4,B class
430,2101,65,2004,no,4.66,802.6,A class
431,2515,40,2013,no,4.71,859.0,A class
432,2813,37,2011,Portuguese,3.76,574.03,B class
433,2475,57,2008,no,4.37,376.41,B class
434,1246,45,2019,no,5.0,1014.29,A class
435,1071,54,2007,no,4.73,795.2,A class
436,581,53,2009,no,3.78,255.33,B class
437,162,60,2010,no,4.7,848.55,A class
438,1241,35,2008,no,4.0,502.55,B class
439,2816,24,2019,no,4.47,801.06,A class
440,564,43,2000,no,4.41,597.15,B class
441,298,51,1999,no,4.66,589.11,A class
442,316,59,2003,no,4.34,659.5,B class
443,1628,33,2016,Portuguese,4.65,765.82,A class
444,2647,56,2019,no,4.22,436.55,B class
445,1630,60,2016,no,4.26,821.17,B class
446,2474,58,2006,Arabic,3.94,646.84,B class
447,2783,58,2002,no,4.91,947.82,A class
448,2144,67,2001,no,4.71,883.58,A class
449,68,52,2006,French,4.23,393.17,B class
450,1273,38,2006,Spanish,5.0,1100.61,A class
451,2305,41,2002,no,4.27,888.31,A class
452,2837,56,2006,Mandarin,4.39,877.75,A class
453,1801,32,2020,Spanish,4.22,752.57,A class
454,1326,49,2011,no,4.68,746.65,A class
455,976,47,2015,no,4.89,977.99,A class
456,2409,52,2008,no,4.37,735.0,B class
457,400,40,2008,French,4.69,950.28,A class
458,1192,55,2016,no,4.4,605.23,B class
459,2481,24,2019,no,4.55,928.18,A class
460,1020,56,2021,no,4.58,573.32,A class
461,2954,59,2016,Portuguese,4.9,839.2,A class
462,1809,62,2003,no,4.86,731.46,A class
463,2279,64,2007,no,4.29,494.93,B class
464,2856,37,2006,no,4.43,720.8,B class
465,1198,23,2020,Spanish,4.46,795.55,B class
466,2457,51,2002,no,4.08,562.49,B class
467,790,25,2019,Arabic,4.23,487.48,B class
468,1800,34,2015,no,3.82,183.37,B class
469,2992,54,2022,no,3.84,122.72,B class
470,1598,48,2021,no,5.0,1316.16,A class
471,2635,49,2018,no,4.37,653.54,B class
472,2886,56,2016,no,4.79,1107.49,A class
473,291,28,2023,French,4.68,618.99,A class
474,1415,58,2002,no,4.43,700.66,A class
475,244,48,2010,Mandarin,4.13,305.58,B class
476,1806,40,2007,no,4.49,718.34,A class
477,1500,42,2007,Spanish,5.0,1192.07,A class
478,2854,44,1999,no,5.0,1060.15,A class
479,876,46,2020,no,4.58,505.6,A class
480,1345,36,2015,no,3.95,655.94,B class
481,376,31,2016,Portuguese,4.0,497.13,B class
482,2319,28,2015,Arabic,4.04,553.02,B class
483,2443,37,2010,French,5.0,949.3,A class
484,1962,33,2010,Arabic,5.0,890.34,A class
485,2444,45,2009,no,4.19,725.5,A class
486,2861,63,2018,no,4.67,527.54,B class
487,1445,26,2017,no,4.94,1065.46,A class
488,1812,35,2008,Arabic,4.25,625.44,B class
489,819,23,2020,no,4.28,723.0,B class
490,627,66,2009,no,4.61,912.85,A class
491,1512,53,2019,Spanish,4.12,686.02,B class
492,329,32,2023,no,3.92,506.88,B class
493,562,40,2018,Mandarin,4.03,640.88,B class
494,534,54,2023,no,4.97,970.94,A class
495,1070,66,2012,Spanish,4.91,898.76,A class
496,2823,47,2001,Arabic,4.69,784.91,A class
497,619,33,2012,Spanish,4.32,542.47,B class
498,2445,53,2007,no,4.11,601.41,B class
499,1966,53,2002,no,4.82,644.06,A class
500,511,51,2004,no,4.16,677.03,B class
501,654,23,2020,no,4.13,716.18,B class
502,1540,54,2004,Spanish,4.67,993.74,A class
503,241,21,2022,no,4.05,711.74,B class
504,2196,63,2013,no,4.34,423.17,B class
505,1582,62,2014,no,4.35,474.72,B class
506,1852,47,2004,Portuguese,4.48,1039.87,A class
507,1309,51,2013,no,4.23,690.02,B class
508,315,24,2019,no,4.5,821.02,A class
509,673,62,2019,no,3.82,240.68,B class
510,46,33,2019,no,4.88,965.92,A class
511,2301,33,2010,Portuguese,4.46,516.57,A class
512,2335,54,2004,no,4.94,766.92,A class
513,215,65,2007,Spanish,4.76,884.7,A class
514,532,44,2016,Spanish,4.34,437.52,B class
515,2252,44,2023,French,4.22,361.62,B class
516,508,46,2015,Spanish,4.27,765.75,B class
517,2313,34,2012,Mandarin,4.49,621.05,B class
518,897,49,2013,no,4.65,853.2,A class
519,2627,66,2000,no,4.33,652.48,B class
520,595,38,2005,Mandarin,4.72,956.28,A class
521,1441,57,2004,Spanish,3.4,180.18,B class
522,2614,57,2023,no,4.27,664.81,B class
523,371,60,2020,no,4.78,929.8,A class
524,1261,55,2013,no,4.47,473.93,B class
525,1171,64,2008,no,4.15,503.69,B class
526,2013,54,2006,no,4.35,547.04,B class
527,485,66,2016,no,3.11,0.0,B class
528,1789,54,2021,no,3.79,451.72,B class
529,893,60,2015,Spanish,4.44,994.56,A class
530,2952,62,2004,Mandarin,4.33,692.23,B class
531,1971,67,1999,Spanish,4.33,729.87,A class
532,696,48,2000,Mandarin,3.64,282.08,B class
533,760,54,2009,no,3.93,75.47,B class
534,2524,66,2021,no,4.67,968.36,A class
535,2163,38,2005,Mandarin,4.54,946.21,A class
536,2500,26,2020,French,4.31,249.19,B class
537,1447,62,2017,Mandarin,4.19,567.54,B class
538,626,50,1999,Spanish,4.43,862.73,A class
539,504,41,2011,Mandarin,3.96,589.6,B class
540,2167,54,2019,Mandarin,3.67,279.72,B class
541,2138,22,2021,Mandarin,4.29,649.77,B class
542,287,43,2022,Mandarin,4.76,879.19,A class
543,584,33,2016,no,4.57,739.62,A class
544,1601,34,2009,no,5.0,934.39,A class
545,942,66,2016,no,3.76,229.88,B class
546,959,46,2001,no,4.62,891.17,A class
547,2241,27,2016,Mandarin,4.49,426.98,B class
548,2110,38,2007,no,4.62,784.42,A class
549,924,32,2011,no,4.55,634.73,B class
550,2740,63,2010,French,4.22,689.35,B class
551,96,34,2023,no,3.24,0.0,B class
552,648,37,2006,French,4.57,1011.6,A class
553,680,36,2012,no,4.5,752.47,A class
554,1270,29,2014,no,4.04,384.92,B class
555,1394,57,2010,no,4.74,664.18,A class
556,2439,48,2007,no,4.3,683.54,B class
557,93,41,2015,no,4.49,339.12,B class
558,549,39,2004,no,4.17,476.21,B class
559,535,52,2018,no,4.43,563.6,A class
560,2499,25,2018,no,4.0,556.43,B class
561,419,64,2009,French,3.95,532.11,B class
562,2123,47,2011,no,4.92,982.91,A class
563,2531,31,2023,no,4.28,737.43,B class
564,1606,46,2014,no,4.43,589.04,B class
565,672,61,2022,Portuguese,4.54,865.09,A class
566,515,29,2014,French,4.2,553.45,B class
567,247,45,2006,Russian,4.04,631.86,B class
568,2780,49,2010,Portuguese,4.65,942.85,A class
569,1952,59,2005,no,3.96,629.52,B class
570,1141,47,2014,Mandarin,4.36,689.27,A class
571,2159,55,2016,no,4.09,579.99,B class
572,2099,57,2012,Arabic,4.73,932.1,A class
573,2526,62,2018,no,4.81,793.0,A class
574,820,37,2006,no,4.46,833.06,A class
575,1883,54,2003,Portuguese,4.05,371.5,B class
576,2607,32,2013,French,4.26,246.06,B class
577,1283,60,2004,Russian,4.06,683.58,B class
578,2530,65,2023,no,4.33,508.52,B class
579,2015,34,2020,no,3.49,81.45,B class
580,2538,47,2016,no,3.83,280.78,B class
581,809,59,2014,no,4.86,826.93,A class
582,603,22,2021,no,4.38,723.22,A class
583,995,54,2011,no,4.43,596.04,B class
