driver_id,age,second_language,rating
352,31,Arabic,4.65
353,60,Spanish,4.65
354,63,no,4.49
355,38,no,3.72
356,25,no,4.27
357,25,no,4.5
358,36,Spanish,4.15
359,42,Spanish,4.56
360,45,no,3.92
361,35,no,4.31
362,37,Spanish,4.89
363,34,no,4.22
364,45,Russian,4.82
365,53,Mandarin,4.52
366,23,no,4.6
367,43,no,4.18
368,51,Mandarin,4.65
369,52,no,4.48
370,47,French,4.06
371,45,no,4.51
372,53,no,4.54
373,38,no,5.0
374,47,Mandarin,4.34
375,36,Russian,3.8
376,41,Arabic,4.6
377,26,no,3.91
378,37,French,5.0
379,27,no,4.76
380,31,Spanish,4.16
381,40,Portuguese,4.28
382,44,no,4.11
383,65,Russian,4.38
384,22,no,4.46
385,63,no,4.79
386,36,no,4.99
387,55,Arabic,4.56
388,52,no,5.0
389,66,French,4.49
390,26,no,3.65
391,66,Mandarin,4.09
392,23,Spanish,5.0
393,62,no,4.24
394,51,Mandarin,4.44
395,43,Mandarin,4.31
396,39,no,3.94
397,25,no,3.91
398,58,no,4.44
399,55,Portuguese,4.53
400,65,Spanish,4.58
401,55,French,4.71
402,65,Mandarin,4.16
403,62,French,3.73
404,41,no,4.06
405,54,no,5.0
406,33,Spanish,4.92
407,58,no,4.64
408,49,no,4.21
409,41,Spanish,4.73
410,50,Arabic,4.06
411,34,Spanish,4.07
412,50,no,4.25
413,43,Russian,4.57
414,36,no,4.57
415,66,no,3.91
416,23,Russian,4.23
417,56,French,4.69
418,30,Portuguese,4.53
419,31,French,4.27
420,28,Spanish,4.43
421,25,no,4.3
422,26,no,4.26
423,60,Portuguese,4.31
424,64,Arabic,4.3
425,48,no,3.82
426,21,no,3.77
427,61,no,4.3
428,49,no,4.84
429,45,Arabic,4.29
430,65,no,4.66
431,40,no,4.71
432,37,Portuguese,3.76
433,57,no,4.37
434,45,no,5.0
435,54,no,4.73
436,53,no,3.78
437,60,no,4.7
438,35,no,4.0
439,24,no,4.47
440,43,no,4.41
441,51,no,4.66
442,59,no,4.34
443,33,Portuguese,4.65
444,56,no,4.22
445,60,no,4.26
446,58,Arabic,3.94
447,58,no,4.91
448,67,no,4.71
449,52,French,4.23
450,38,Spanish,5.0
451,41,no,4.27
452,56,Mandarin,4.39
453,32,Spanish,4.22
454,49,no,4.68
455,47,no,4.89
456,52,no,4.37
457,40,French,4.69
458,55,no,4.4
459,24,no,4.55
460,56,no,4.58
461,59,Portuguese,4.9
462,62,no,4.86
463,64,no,4.29
464,37,no,4.43
465,23,Spanish,4.46
466,51,no,4.08
467,25,Arabic,4.23
468,34,no,3.82
469,54,no,3.84
470,48,no,5.0
471,49,no,4.37
472,56,no,4.79
473,28,French,4.68
474,58,no,4.43
475,48,Mandarin,4.13
476,40,no,4.49
477,42,Spanish,5.0
478,44,no,5.0
479,46,no,4.58
480,36,no,3.95
481,31,Portuguese,4.0
482,28,Arabic,4.04
483,37,French,5.0
484,33,Arabic,5.0
485,45,no,4.19
486,63,no,4.67
487,26,no,4.94
488,35,Arabic,4.25
489,23,no,4.28
490,66,no,4.61
491,53,Spanish,4.12
492,32,no,3.92
493,40,Mandarin,4.03
494,54,no,4.97
495,66,Spanish,4.91
496,47,Arabic,4.69
497,33,Spanish,4.32
498,53,no,4.11
499,53,no,4.82
500,51,no,4.16
501,23,no,4.13
502,54,Spanish,4.67
503,21,no,4.05
504,63,no,4.34
505,62,no,4.35
506,47,Portuguese,4.48
507,51,no,4.23
508,24,no,4.5
509,62,no,3.82
510,33,no,4.88
511,33,Portuguese,4.46
512,54,no,4.94
513,65,Spanish,4.76
514,44,Spanish,4.34
515,44,French,4.22
516,46,Spanish,4.27
517,34,Mandarin,4.49
518,49,no,4.65
519,66,no,4.33
520,38,Mandarin,4.72
521,57,Spanish,3.4
522,57,no,4.27
523,60,no,4.78
524,55,no,4.47
525,64,no,4.15
526,54,no,4.35
527,66,no,3.11
528,54,no,3.79
529,60,Spanish,4.44
530,62,Mandarin,4.33
531,67,Spanish,4.33
532,48,Mandarin,3.64
533,54,no,3.93
534,66,no,4.67
535,38,Mandarin,4.54
536,26,French,4.31
537,62,Mandarin,4.19
538,50,Spanish,4.43
539,41,Mandarin,3.96
540,54,Mandarin,3.67
541,22,Mandarin,4.29
542,43,Mandarin,4.76
543,33,no,4.57
544,34,no,5.0
545,66,no,3.76
546,46,no,4.62
547,27,Mandarin,4.49
548,38,no,4.62
549,32,no,4.55
550,63,French,4.22
551,34,no,3.24
552,37,French,4.57
553,36,no,4.5
554,29,no,4.04
555,57,no,4.74
556,48,no,4.3
557,41,no,4.49
558,39,no,4.17
559,52,no,4.43
560,25,no,4.0
561,64,French,3.95
562,47,no,4.92
563,31,no,4.28
564,46,no,4.43
565,61,Portuguese,4.54
566,29,French,4.2
567,45,Russian,4.04
568,49,Portuguese,4.65
569,59,no,3.96
570,47,Mandarin,4.36
571,55,no,4.09
572,57,Arabic,4.73
573,62,no,4.81
574,37,no,4.46
575,54,Portuguese,4.05
576,32,French,4.26
577,60,Russian,4.06
578,65,no,4.33
579,34,no,3.49
580,47,no,3.83
581,59,no,4.86
582,22,no,4.38
583,54,no,4.43
584,59,French,4.19
585,61,no,4.02
586,30,Mandarin,4.58
587,56,Arabic,4.28
588,57,Spanish,5.0
589,21,no,4.29
590,54,no,4.6
591,50,no,3.79
592,66,Mandarin,4.07
593,23,no,4.18
594,66,no,3.96
595,47,Russian,4.59
596,33,Spanish,4.27
597,39,French,5.0
598,57,no,4.36
599,67,Portuguese,5.0
600,35,no,4.34
601,67,no,4.82
602,50,Arabic,4.57
603,30,Arabic,4.49
604,49,no,4.42
605,58,no,4.4
606,23,no,4.39
607,24,Mandarin,4.65
608,21,French,4.62
609,47,no,4.11
610,23,no,4.68
611,64,Spanish,4.6
612,27,Mandarin,4.7
613,24,no,4.33
614,33,Spanish,4.78
615,56,Russian,4.18
616,63,no,4.24
617,32,Spanish,4.39
618,45,Spanish,4.21
619,57,no,4.76
620,58,Arabic,4.08
621,28,Spanish,4.42
622,60,no,4.42
623,61,no,4.05
624,55,Mandarin,4.34
625,45,no,4.5
626,39,no,4.26
627,62,no,4.43
628,61,Spanish,4.0
629,45,Russian,5.0
630,55,Mandarin,4.2
631,39,French,4.15
632,55,no,4.31
633,25,no,4.87
634,63,Russian,4.65
635,45,no,3.94
636,49,French,4.85
637,29,no,4.25
638,45,no,4.73
639,21,Spanish,4.99
640,62,no,4.53
641,56,no,5.0
642,42,no,3.62
643,60,no,4.22
644,59,no,4.27
645,26,Arabic,5.0
646,23,no,4.71
647,32,French,4.95
648,21,Spanish,3.99
649,47,no,4.3
650,45,no,4.23
651,46,Portuguese,4.08
652,24,Spanish,4.86
653,64,Portuguese,4.21
654,66,no,4.52
655,48,Mandarin,4.67
656,21,French,3.74
657,39,Russian,4.5
658,54,no,4.41
659,56,Portuguese,4.4
660,32,no,4.15
661,59,French,4.17
662,66,no,4.21
663,44,Spanish,4.41
664,38,no,4.36
665,45,French,4.43
666,22,no,3.78
667,45,no,4.92
668,22,Spanish,4.34
669,22,Mandarin,4.2
670,47,no,3.94
671,45,Spanish,4.4
672,67,no,5.0
673,44,Spanish,4.35
674,67,Spanish,4.11
675,58,Mandarin,4.74
676,36,French,4.37
677,64,no,4.7
678,43,no,4.38
679,48,Spanish,5.0
680,25,no,4.17
681,30,no,4.8
682,45,French,4.13
683,33,no,3.93
684,49,no,4.8
685,24,Russian,4.43
686,32,no,5.0
687,52,no,4.66
688,49,no,4.78
689,67,no,5.0
690,63,Mandarin,4.01
691,59,French,3.85
692,21,Spanish,4.19
693,49,no,4.81
694,31,no,3.92
695,33,no,4.57
696,30,Spanish,4.73
697,42,Spanish,5.0
698,26,no,4.92
699,45,French,4.48
700,28,Mandarin,4.91
701,44,no,4.34
702,50,Spanish,4.19
703,29,Spanish,4.25
704,25,no,4.06
705,58,no,4.46
706,55,Spanish,4.66
707,33,Portuguese,3.9
708,62,Spanish,4.33
709,31,Spanish,4.25
710,64,Spanish,4.62
711,26,no,5.0
712,52,no,4.48
713,21,no,3.97
714,30,Arabic,4.05
715,40,French,4.84
716,25,Portuguese,4.22
717,42,no,4.88
718,31,no,5.0
719,25,Spanish,3.98
720,66,no,4.25
721,67,no,4.95
722,66,French,4.81
723,28,Spanish,3.63
724,38,Spanish,4.21
725,36,no,3.79
726,36,no,4.35
727,40,no,4.84
728,44,no,3.61
729,43,no,4.02
730,34,no,4.64
731,67,Russian,4.62
732,67,no,4.47
733,36,no,4.44
734,31,no,4.2
735,46,Mandarin,4.21
736,38,no,4.49
737,67,no,4.6
738,41,no,4.51
739,22,no,4.13
740,26,Spanish,4.68
741,24,no,4.11
742,38,no,3.87
743,35,French,4.76
744,61,no,4.59
745,62,Spanish,4.86
746,27,no,3.89
747,65,Spanish,5.0
748,48,no,4.6
749,35,no,4.29
750,40,no,4.47
751,41,Russian,4.6
752,29,no,3.71
753,61,Portuguese,5.0
754,21,Portuguese,4.11
755,24,no,4.73
756,33,no,4.21
757,27,no,4.76
758,23,Russian,4.26
759,39,Spanish,4.68
760,38,no,4.93
761,26,no,4.36
762,59,French,4.63
763,62,no,4.08
764,54,no,4.75
765,45,no,5.0
766,65,no,4.18
767,37,Arabic,4.77
768,41,French,4.45
769,21,no,4.21
770,54,no,4.61
771,25,French,4.1
772,52,no,4.19
773,57,no,4.63
774,31,no,4.32
775,49,Spanish,5.0
776,35,Russian,4.84
777,39,Spanish,4.71
778,45,no,4.17
779,32,Mandarin,4.05
780,58,no,5.0
781,39,Arabic,4.1
782,42,no,4.55
783,59,no,4.75
784,31,no,4.1
785,42,no,4.21
786,67,no,3.83
787,39,Spanish,4.22
788,26,Mandarin,4.13
789,34,French,5.0
790,65,no,4.3
791,56,no,4.32
792,59,no,4.22
793,32,no,4.5
794,60,no,4.15
795,39,Arabic,5.0
796,58,Russian,3.94
797,62,no,4.79
798,30,French,4.37
799,65,Spanish,4.23
800,50,no,4.2
801,55,Spanish,4.13
802,56,no,3.82
803,28,no,3.77
804,56,Russian,4.5
805,31,Spanish,4.22
806,33,no,3.95
807,26,no,4.23
808,29,Portuguese,4.16
809,67,no,4.62
810,36,Arabic,4.46
811,39,Arabic,4.95
812,43,no,4.87
813,54,Mandarin,4.89
814,47,Spanish,3.92
815,46,French,4.08
816,60,no,4.71
817,44,no,4.01
818,57,no,4.96
819,63,Spanish,4.4
820,52,French,5.0
821,22,Mandarin,4.67
822,33,Spanish,4.72
823,50,no,4.61
824,43,no,4.42
825,34,French,4.38
826,36,no,3.75
827,24,French,4.84
828,32,no,4.73
829,57,no,3.99
830,21,Portuguese,4.74
831,60,no,4.24
832,36,no,3.8
833,58,Spanish,5.0
834,33,Spanish,3.87
835,59,Portuguese,4.23
836,47,Arabic,4.91
837,61,Mandarin,4.51
838,23,no,4.6
839,58,no,4.57
840,33,Arabic,4.64
841,37,no,4.2
842,23,Russian,4.63
843,65,Spanish,4.14
844,51,no,5.0
845,67,no,3.97
846,47,Mandarin,4.45
847,28,no,3.98
848,36,no,4.27
849,41,Mandarin,4.41
850,27,no,4.53
851,64,no,4.69
852,66,Spanish,4.41
853,47,French,4.05
854,48,no,4.26
855,54,Portuguese,5.0
856,52,Portuguese,5.0
857,23,no,3.85
858,45,no,4.12
859,57,French,4.71
860,58,no,4.59
861,49,French,4.56
862,63,Spanish,5.0
863,48,no,4.14
864,38,Spanish,5.0
865,41,no,4.67
866,53,Portuguese,4.13
867,62,no,4.16
868,31,Portuguese,4.08
869,34,no,4.68
870,51,Mandarin,4.66
871,56,Portuguese,3.94
872,39,no,4.05
873,51,no,4.71
874,21,French,4.21
875,34,French,4.35
876,65,no,4.74
877,48,no,4.3
878,61,French,4.42
879,31,no,5.0
880,34,Spanish,5.0
881,66,no,4.03
882,67,no,4.15
883,62,French,3.52
884,35,no,4.5
885,58,Portuguese,4.8
886,42,Spanish,4.37
887,60,no,3.86
888,61,no,3.95
889,41,no,4.51
890,35,French,4.26
891,66,Spanish,4.54
892,42,French,4.64
893,41,no,4.76
894,52,no,4.54
895,65,no,4.53
896,27,French,3.57
897,67,no,4.22
898,40,no,4.41
899,22,no,4.63
900,35,no,4.59
901,42,Spanish,4.2
902,52,Spanish,4.18
903,47,Russian,3.7
904,27,no,4.6
905,43,Spanish,4.47
906,31,no,5.0
907,33,French,4.24
908,54,Spanish,5.0
909,58,no,4.56
910,28,French,3.7
911,49,no,4.35
912,40,no,4.49
913,36,no,4.54
914,54,no,4.91
915,32,Arabic,4.84
916,56,Mandarin,4.51
917,39,Mandarin,4.24
918,25,Arabic,3.84
919,58,French,4.42
920,61,no,4.72
921,47,no,3.96
922,55,no,4.4
923,27,Portuguese,4.36
924,36,Portuguese,4.06
925,37,Mandarin,4.57
926,56,no,4.44
927,37,no,5.0
928,55,Arabic,4.56
929,35,no,4.71
930,49,Spanish,4.55
931,30,no,3.66
932,47,no,4.49
933,24,Spanish,4.32
934,55,Portuguese,4.48
935,22,French,4.15
936,67,no,4.82
937,60,no,4.86
938,48,Arabic,4.75
939,63,Spanish,5.0
940,59,no,5.0
941,27,Spanish,3.55
942,55,no,3.89
943,38,no,3.93
944,61,Arabic,4.42
945,61,Spanish,4.17
946,65,no,4.42
947,42,no,4.18
948,30,Russian,4.57
949,26,Spanish,4.06
950,28,Spanish,3.89
951,67,no,4.15
952,48,Russian,4.63
953,37,Arabic,4.53
954,42,no,4.12
955,29,no,3.54
956,47,Mandarin,4.76
957,41,French,4.14
958,58,French,4.36
959,21,Russian,3.64
960,64,Spanish,3.76
961,23,no,3.82
962,40,no,4.33
963,37,French,4.09
964,54,no,4.8
965,51,no,4.37
966,30,Mandarin,5.0
967,44,no,3.91
968,46,French,4.66
969,42,no,4.34
970,22,no,4.31
971,29,no,4.35
972,44,Mandarin,4.67
973,33,Mandarin,4.47
974,46,no,4.92
975,28,no,3.85
976,55,no,4.17
977,29,Mandarin,5.0
978,51,Russian,4.74
979,60,French,4.78
980,37,no,4.73
981,27,Spanish,3.7
982,21,no,4.7
983,37,no,4.73
984,26,no,4.01
985,62,no,5.0
986,66,no,4.65
987,67,French,3.78
988,64,no,4.56
989,48,Mandarin,4.32
990,36,Portuguese,5.0
991,41,Spanish,4.35
992,33,no,4.18
993,60,Mandarin,5.0
994,41,no,4.43
995,39,no,4.2
996,53,no,4.55
997,38,French,4.69
998,37,French,4.52
999,31,French,4.3
1000,24,Mandarin,4.25
1001,22,no,3.68
1002,39,French,3.77
1003,67,Arabic,4.65
1004,33,no,3.92
1005,51,Russian,4.1
1006,36,Arabic,3.92
1007,35,no,3.54
1008,28,no,4.32
1009,47,no,4.26
1010,51,French,4.57
1011,37,no,4.27
1012,45,no,4.16
1013,43,Spanish,4.5
1014,33,Arabic,4.28
1015,53,French,4.58
1016,47,Mandarin,5.0
1017,24,no,4.37
1018,44,no,3.82
1019,39,Spanish,4.07
1020,58,no,4.47
1021,35,Spanish,4.33
1022,65,Russian,4.03
1023,49,Spanish,4.39
1024,27,Spanish,5.0
1025,39,Spanish,4.23
1026,62,French,4.44
1027,32,no,3.84
1028,54,no,4.82
1029,57,no,4.7
1030,53,Spanish,4.63
1031,25,no,4.7
1032,38,no,4.23
1033,37,Mandarin,4.22
1034,37,no,5.0
1035,62,Spanish,4.86
1036,21,no,3.35
1037,46,no,4.96
1038,67,no,4.17
1039,62,no,4.76
1040,49,Russian,4.5
1041,67,Russian,3.95
1042,39,Mandarin,4.53
1043,49,Spanish,4.51
1044,46,French,4.42
1045,23,Arabic,4.55
1046,22,no,4.89
1047,63,no,4.63
1048,29,Mandarin,4.35
1049,37,Russian,4.69
1050,50,no,5.0
1051,48,no,4.71
1052,45,no,4.62
1053,67,no,4.67
1054,57,Mandarin,4.59
1055,65,no,4.4
1056,51,Portuguese,5.0
1057,67,French,4.09
1058,49,no,4.62
1059,46,French,4.37
1060,59,French,3.78
1061,61,no,4.26
1062,24,no,4.02
1063,63,French,4.67
1064,53,no,4.2
1065,63,no,3.98
1066,54,no,5.0
1067,64,no,4.46
1068,33,Spanish,5.0
1069,29,no,4.3
1070,30,Spanish,4.23
1071,32,no,4.63
1072,31,French,4.12
1073,41,no,4.51
1074,30,Portuguese,4.6
1075,28,Arabic,4.05
1076,45,no,4.69
1077,58,Spanish,4.06
1078,27,no,4.25
1079,45,French,4.72
1080,51,Spanish,5.0
1081,54,no,4.38
1082,25,no,4.4
1083,55,no,4.39
1084,22,French,4.48
1085,32,French,4.28
1086,36,no,4.27
1087,61,no,4.55
1088,30,no,4.31
1089,57,Spanish,4.23
1090,67,no,4.59
1091,66,no,4.57
1092,35,Arabic,4.07
1093,25,no,4.87
1094,31,Mandarin,4.75
1095,57,no,4.25
1096,30,no,4.83
1097,51,Spanish,4.55
1098,38,no,4.65
1099,57,no,4.36
1100,49,Russian,4.34
1101,48,Arabic,3.81
1102,57,Mandarin,4.63
1103,65,no,4.37
1104,38,no,4.74
1105,45,no,4.44
1106,50,Portuguese,4.3
1107,59,French,4.92
1108,43,no,4.73
1109,38,Russian,4.58
1110,60,no,4.64
1111,65,Spanish,4.86
1112,47,no,3.9
1113,25,no,4.52
1114,34,Portuguese,4.15
1115,42,Arabic,4.73
1116,54,no,4.13
1117,52,no,4.2
1118,59,Spanish,4.4
1119,22,no,4.37
1120,42,Spanish,4.06
1121,53,Spanish,3.58
1122,67,no,4.6
1123,27,no,3.55
1124,62,no,4.63
1125,21,Portuguese,5.0
1126,30,no,4.67
1127,60,Spanish,5.0
1128,57,no,4.59
1129,66,Mandarin,5.0
1130,49,no,4.27
1131,49,no,3.66
1132,46,Mandarin,4.45
1133,45,Mandarin,5.0
1134,45,no,4.29
1135,34,no,4.22
1136,61,Portuguese,4.79
1137,37,no,4.57
1138,49,no,4.44
1139,52,no,5.0
1140,46,no,4.38
1141,49,Spanish,4.73
1142,23,Mandarin,4.45
1143,35,no,3.97
1144,42,Spanish,4.04
1145,39,no,4.56
1146,63,Mandarin,4.3
1147,63,no,4.63
1148,54,no,3.78
1149,37,Spanish,4.64
1150,23,no,4.29
1151,56,no,4.6
1152,62,no,4.85
1153,44,Mandarin,4.08
1154,59,no,4.37
1155,64,Mandarin,4.53
1156,46,French,4.26
1157,30,Spanish,5.0
1158,22,no,4.7
1159,56,French,4.5
1160,47,no,5.0
1161,28,Arabic,4.37
1162,23,Mandarin,4.33
1163,66,no,4.76
1164,36,French,3.69
1165,36,no,4.4
1166,50,no,4.78
1167,38,no,4.02
1168,63,Spanish,4.66
1169,53,Mandarin,4.52
1170,37,Arabic,4.29
1171,33,no,4.78
1172,61,Spanish,4.49
1173,48,Spanish,4.39
1174,64,Spanish,4.69
1175,37,no,5.0
1176,21,no,4.67
1177,63,Mandarin,4.26
1178,32,no,3.84
1179,60,no,3.72
1180,54,no,4.44
1181,31,no,4.38
1182,56,no,4.21
1183,24,no,4.31
1184,39,Mandarin,4.16
1185,37,Russian,4.32
1186,51,no,4.6
1187,46,no,4.95
1188,49,French,4.04
1189,43,no,4.54
1190,55,Russian,3.64
1191,28,Spanish,3.77
1192,54,no,4.13
1193,23,no,4.65
1194,25,no,4.12
1195,55,French,4.22
1196,28,no,4.23
1197,57,Arabic,4.39
1198,27,Mandarin,3.97
1199,27,Arabic,5.0
1200,64,Arabic,4.57
1201,29,no,4.37
1202,63,no,4.25
1203,37,French,4.82
1204,58,no,4.87
1205,65,no,4.76
1206,26,no,4.18
1207,36,no,4.62
1208,47,Arabic,4.6
1209,61,no,4.77
1210,29,Spanish,4.31
1211,29,Russian,4.34
1212,38,no,4.95
1213,30,Mandarin,4.9
1214,33,no,5.0
1215,27,no,4.46
1216,59,no,4.31
1217,58,no,3.22
1218,27,no,3.86
1219,46,no,3.97
1220,51,no,3.76
1221,50,no,4.66
1222,67,Spanish,4.08
1223,51,no,4.17
1224,53,French,4.54
1225,22,Portuguese,4.86
1226,24,Mandarin,4.14
1227,50,Spanish,4.8
1228,63,Spanish,4.69
1229,39,Spanish,4.82
1230,51,Portuguese,4.64
