,driver_id,car_model,car_manufacture_year,days_since_inspection,age,experience,second_language,rating,net_worth_of_tips,number_of_rejected_rides,number_of_upvotes,number_of_complaints,number_of_incidents,driver_class
58,2650,5.0,2016,142,48.0,1,6.0,4.37,0.01958,2,19,0,1,0
59,2934,6.0,2008,212,45.0,20,6.0,4.17,-0.61672,7,15,2,0,1
60,1103,6.0,2014,636,65.0,18,6.0,4.37,-0.16165,1,15,1,0,1
61,2318,4.0,2012,808,49.0,5,6.0,4.47,-0.61525,6,30,3,0,1
62,2137,4.0,2016,62,48.0,22,6.0,5.0,2.04676,2,56,0,0,0
63,980,4.0,2005,272,37.0,3,6.0,4.73,0.72520,3,21,1,0,0
64,1272,2.0,2022,54,23.0,3,3.0,4.2,-0.85589,3,8,0,1,1
65,207,0.0,2006,71,54.0,1,6.0,3.72,-1.00578,3,21,2,1,1
66,1392,0.0,2008,830,37.0,17,6.0,3.91,0.00181,4,36,2,0,1
67,441,5.0,2021,772,44.0,24,6.0,4.66,-0.38503,7,33,1,0,0
68,1514,4.0,2006,704,59.0,2,6.0,4.95,2.58780,1,35,3,0,0
69,413,4.0,2010,716,43.0,2,4.0,4.57,1.93077,2,34,1,0,0
70,225,5.0,2016,392,66.0,1,0.0,4.31,-1.15990,7,40,1,1,1
71,122,2.0,2005,827,25.0,4,2.0,4.3,-0.80036,3,26,2,0,1
72,1427,0.0,2020,212,49.0,23,6.0,5.0,2.09357,1,64,0,0,0
73,2130,0.0,2020,523,59.0,20,6.0,4.52,0.21920,3,42,0,1,0
74,378,5.0,2006,7,37.0,10,1.0,5.0,1.37480,0,41,0,0,0
75,2359,1.0,2016,413,25.0,0,6.0,4.27,0.00321,3,24,2,1,1
76,415,5.0,2012,149,66.0,9,6.0,3.91,-0.53709,2,16,2,0,1
77,2053,2.0,2009,456,38.0,18,1.0,5.0,1.65409,0,67,0,0,0
78,1743,2.0,2017,668,44.0,2,6.0,4.8,0.80234,1,44,2,1,0
79,2187,1.0,2010,652,52.0,10,5.0,4.87,1.25866,2,22,0,0,0
80,685,1.0,2015,363,24.0,4,4.0,4.43,-0.43830,4,18,0,0,0
81,869,1.0,2005,282,34.0,14,6.0,4.68,-0.28992,3,47,2,0,0
82,1610,1.0,2011,183,44.0,2,6.0,4.29,-0.41399,3,43,2,1,1
83,2786,4.0,2014,253,32.0,12,2.0,4.73,1.38736,4,30,0,0,0
84,2986,1.0,2007,203,47.0,17,6.0,4.39,0.35042,3,31,1,0,1
85,281,5.0,2022,244,44.0,18,6.0,4.4,0.17347,1,15,2,0,1
86,1105,5.0,2014,258,45.0,18,6.0,4.44,0.91409,3,48,1,0,0
87,2744,6.0,2016,759,48.0,9,4.0,3.84,-0.27900,6,25,1,0,1
88,1846,5.0,2013,463,24.0,4,5.0,4.26,-0.45941,4,21,1,0,1
89,2533,6.0,2006,625,53.0,8,6.0,4.14,-0.39934,6,31,2,1,1
90,1052,6.0,2017,682,45.0,17,6.0,4.62,0.96359,2,24,0,0,0
91,1364,6.0,2013,531,28.0,2,6.0,4.66,-0.61319,4,38,2,0,1
92,2283,4.0,2015,409,64.0,11,6.0,4.46,-0.67306,2,29,2,0,0
93,2863,6.0,2019,46,31.0,3,6.0,4.73,0.50941,2,52,0,0,0
94,965,0.0,2020,241,51.0,12,6.0,4.37,-0.29583,3,25,3,0,1
95,2379,0.0,2017,571,42.0,13,1.0,4.13,-0.26302,4,22,4,2,1
96,2652,6.0,2020,284,66.0,14,6.0,4.35,-0.32122,3,13,2,0,1
97,2005,5.0,2022,22,44.0,16,5.0,4.43,0.30248,1,28,1,0,0
98,1529,0.0,2018,161,37.0,10,6.0,5.0,1.86425,3,62,2,0,0
99,2727,0.0,2022,233,34.0,10,1.0,3.92,-0.89426,3,11,1,0,1
100,2479,1.0,2021,254,24.0,4,2.0,4.24,-0.72077,4,16,1,0,1
101,2586,3.0,2012,671,66.0,18,0.0,4.65,0.79087,1,29,1,0,0
102,1058,4.0,2019,221,49.0,17,6.0,4.62,1.04963,2,35,0,0,0
103,2044,6.0,2007,92,29.0,9,2.0,4.82,0.20916,3,30,0,2,0
104,1110,4.0,2010,63,60.0,15,6.0,4.64,-0.44716,0,38,5,0,1
105,2748,2.0,2022,139,54.0,13,6.0,4.57,0.15625,1,44,0,0,0
106,1964,3.0,2015,9,57.0,15,6.0,4.68,0.90694,4,28,2,0,0
107,859,6.0,2015,692,57.0,15,1.0,4.71,0.98112,1,35,0,0,0
108,2821,2.0,2005,512,21.0,1,6.0,5.0,1.70331,1,45,0,0,0
109,2954,4.0,2010,428,46.0,18,6.0,4.13,-1.91829,2,12,1,0,1
110,2217,0.0,2013,674,58.0,2,6.0,4.75,0.47931,1,38,1,0,0
111,2113,4.0,2014,654,57.0,22,6.0,4.4,-0.64752,4,19,0,0,1
112,431,6.0,2014,504,40.0,10,6.0,4.71,0.66435,3,26,0,0,0
113,2768,6.0,2008,351,26.0,1,2.0,4.6,1.69748,2,35,0,0,0
114,260,3.0,2015,820,44.0,5,6.0,4.7,-0.03097,3,38,1,0,0
115,2273,2.0,2018,99,44.0,3,6.0,4.66,0.32484,1,49,1,0,0
116,1708,5.0,2009,644,27.0,7,2.0,4.14,-0.50941,1,40,3,1,1
117,2260,4.0,2008,332,47.0,4,6.0,4.21,-0.02207,3,31,2,0,1
118,1623,4.0,2019,251,64.0,3,0.0,4.54,-0.80347,3,20,1,1,1
119,1382,5.0,2007,203,27.0,7,0.0,3.74,-1.44312,5,14,3,0,1
120,2615,6.0,2016,400,33.0,3,6.0,4.11,-1.38215,10,34,3,0,1
121,583,5.0,2014,673,54.0,12,6.0,4.43,-0.35808,1,26,0,0,1
122,2775,5.0,2014,264,66.0,9,6.0,5.0,1.43767,1,49,1,0,0
123,751,0.0,2018,771,41.0,21,4.0,4.6,1.91915,0,46,0,0,0
124,1142,0.0,2013,334,23.0,3,2.0,4.45,0.48340,3,12,0,0,0
125,2229,4.0,2013,285,25.0,5,6.0,4.77,0.75370,3,34,2,1,0
126,2585,5.0,2021,118,45.0,22,6.0,4.15,-1.41042,4,22,2,0,1
127,2480,2.0,2012,896,60.0,15,6.0,4.51,-0.10772,3,44,1,0,0
128,975,2.0,2021,343,28.0,8,6.0,3.85,-1.06258,6,13,2,0,1
129,2450,3.0,2005,353,38.0,16,0.0,4.63,0.24894,2,23,1,2,0
130,2545,3.0,2022,649,41.0,0,5.0,3.74,-2.47761,4,4,2,0,1
131,891,4.0,2015,680,66.0,5,5.0,4.54,0.78648,3,53,1,0,0
132,2770,3.0,2018,190,67.0,15,6.0,4.31,0.23199,2,41,5,0,1
133,2107,2.0,2015,793,32.0,2,5.0,4.18,-1.41555,2,25,1,0,1
134,1182,1.0,2022,448,56.0,4,6.0,4.21,-1.24960,3,34,1,2,1
135,2977,5.0,2012,670,29.0,9,6.0,4.5,0.50607,3,54,3,1,0
136,2441,3.0,2012,155,37.0,7,1.0,4.84,1.54872,3,29,0,0,0
137,2534,0.0,2018,878,49.0,6,4.0,4.65,-0.50451,6,49,2,0,0
138,673,5.0,2006,412,44.0,6,5.0,4.35,0.29408,3,29,2,1,1
139,2313,4.0,2019,754,39.0,19,6.0,4.87,-0.66995,4,29,3,1,0
140,2867,5.0,2005,638,32.0,3,6.0,4.14,-1.10310,3,16,0,1,1
141,708,2.0,2022,129,62.0,2,5.0,4.33,-0.58717,7,25,0,0,1
142,2102,0.0,2018,724,39.0,7,5.0,4.35,-0.33363,5,37,0,2,1
143,1328,5.0,2006,65,33.0,13,5.0,4.82,0.98458,3,47,1,0,0
144,2611,3.0,2005,256,29.0,9,2.0,4.59,0.58297,2,48,2,1,0
145,2893,6.0,2013,593,64.0,18,4.0,4.04,-1.86934,5,19,1,1,1
146,71,3.0,2012,527,60.0,23,6.0,4.33,0.70005,6,28,2,0,0
147,1225,6.0,2006,224,22.0,2,3.0,4.86,1.14482,1,31,4,0,0
148,2694,0.0,2017,620,38.0,15,1.0,4.33,-1.35738,3,21,2,0,1
149,1163,2.0,2006,429,66.0,2,6.0,4.76,-0.60261,3,35,1,0,0
150,1878,2.0,2011,809,27.0,7,6.0,3.99,-0.49040,6,22,3,1,1
151,35,4.0,2009,691,43.0,21,6.0,4.67,-0.42644,1,19,0,0,0
152,2931,4.0,2006,793,49.0,1,1.0,4.94,0.87498,0,39,1,0,0
153,1601,6.0,2009,719,23.0,3,6.0,4.49,0.99224,2,47,4,2,0
154,2996,6.0,2012,19,44.0,23,4.0,5.0,1.14077,1,45,0,0,0
155,373,5.0,2016,161,38.0,10,6.0,5.0,1.30271,2,62,0,0,0
156,2150,2.0,2007,230,47.0,10,6.0,4.92,0.37072,2,35,2,0,0
157,804,4.0,2007,349,56.0,3,4.0,4.5,0.39494,4,39,2,0,0
158,2055,3.0,2014,43,55.0,17,2.0,4.5,-0.55374,3,28,1,0,0
159,1993,0.0,2015,723,52.0,15,3.0,3.84,-1.49841,3,20,1,0,1
160,319,5.0,2010,149,33.0,13,6.0,5.0,2.05644,3,41,0,0,0
161,1165,1.0,2015,436,36.0,16,6.0,4.4,-0.31461,1,28,2,1,1
162,540,1.0,2017,96,54.0,4,2.0,3.67,-1.58799,3,17,1,1,1
163,119,1.0,2008,699,66.0,0,2.0,4.03,-0.67839,2,25,3,0,1
164,362,2.0,2009,163,37.0,17,5.0,4.89,1.71716,3,46,2,0,0
165,880,3.0,2022,188,34.0,8,5.0,5.0,1.29712,3,39,1,0,0
166,2947,2.0,2005,424,56.0,17,2.0,4.21,0.19979,3,34,3,0,1
167,1648,4.0,2015,790,50.0,17,6.0,4.59,1.03043,5,25,1,0,0
168,820,3.0,2012,334,52.0,1,1.0,5.0,1.66451,1,42,1,0,0
169,2295,0.0,2016,214,37.0,17,0.0,5.0,0.65106,3,38,0,0,0
170,593,3.0,2019,109,44.0,3,6.0,4.18,-0.38973,3,26,0,0,1
171,2552,0.0,2020,778,27.0,7,5.0,4.08,-0.46143,4,22,1,0,1
172,929,5.0,2010,841,35.0,0,6.0,4.71,0.81572,2,26,0,0,0
173,2386,1.0,2020,726,57.0,4,2.0,3.7,-1.71720,1,12,2,0,1
174,2975,4.0,2010,195,31.0,11,6.0,4.49,-0.80001,5,24,2,0,1
175,420,6.0,2012,723,28.0,1,5.0,4.43,-0.00702,3,17,0,0,0
176,469,3.0,2013,322,54.0,1,6.0,3.84,-2.19844,5,10,0,1,1
177,434,4.0,2010,406,44.0,4,6.0,5.0,1.26815,1,60,2,0,0
178,2958,2.0,2021,187,31.0,11,6.0,4.19,-0.13591,3,15,1,1,1
179,659,6.0,2010,844,56.0,14,3.0,4.4,-0.50906,5,19,2,1,1
180,297,6.0,2018,629,58.0,17,6.0,4.48,-0.07129,1,16,1,0,0
181,728,6.0,2020,461,44.0,18,6.0,3.61,-1.17888,6,6,5,1,1
182,421,0.0,2014,146,25.0,0,6.0,4.3,-0.27561,2,29,3,1,0
183,1760,5.0,2017,396,34.0,4,6.0,4.29,-0.36959,2,24,2,0,1
184,2806,0.0,2013,403,29.0,9,6.0,3.79,-0.78913,8,33,3,3,1
185,2454,6.0,2014,320,27.0,7,1.0,4.18,-0.79496,2,21,2,1,1
186,315,0.0,2009,554,25.0,5,6.0,3.85,-1.07848,4,17,1,0,1
187,187,1.0,2011,805,30.0,10,1.0,5.0,1.22861,3,43,0,0,0
188,1496,3.0,2014,444,54.0,3,6.0,4.37,-0.32783,2,21,1,0,1
189,1599,5.0,2014,897,44.0,12,6.0,4.09,-1.24249,9,28,2,1,1
190,2851,1.0,2008,13,47.0,16,3.0,3.69,-1.55918,8,6,0,1,1
191,1990,5.0,2014,369,66.0,0,6.0,3.73,-1.50650,2,11,0,0,1
192,430,4.0,2014,397,65.0,19,6.0,4.66,0.44506,1,38,0,0,0
193,533,0.0,2015,858,54.0,14,6.0,3.93,-2.38215,4,20,2,0,1
194,738,2.0,2013,361,41.0,17,6.0,4.51,0.09547,1,33,0,0,0
195,1464,5.0,2008,744,30.0,10,6.0,4.83,1.34455,1,29,0,0,0
196,2315,4.0,2017,141,54.0,14,5.0,4.3,-0.28254,2,21,0,0,1
197,805,6.0,2007,711,31.0,5,5.0,4.22,-1.61595,9,20,0,3,1
198,2468,3.0,2008,121,64.0,13,1.0,4.58,-0.14699,3,24,1,0,0
199,730,0.0,2009,824,44.0,14,6.0,4.64,0.49596,3,36,2,0,0
200,1206,0.0,2009,14,26.0,6,6.0,4.18,-0.10243,8,29,5,0,1
201,1668,4.0,2007,728,38.0,17,6.0,4.88,1.30598,1,50,0,0,0
202,1612,3.0,2007,18,65.0,22,2.0,4.41,0.12860,2,21,1,0,1
203,1099,3.0,2016,89,57.0,23,6.0,4.36,-0.17895,2,50,0,1,0
204,173,1.0,2012,389,25.0,5,5.0,4.27,-0.66249,0,34,4,1,0
205,2109,4.0,2011,238,22.0,2,6.0,3.82,-1.05881,2,16,1,1,1
206,638,3.0,2022,716,45.0,14,6.0,4.73,0.60094,0,28,2,0,0
207,1078,0.0,2021,474,27.0,7,6.0,4.25,0.11526,1,28,0,0,1
208,2145,2.0,2008,295,45.0,5,6.0,3.98,-0.72711,8,15,1,0,1
209,1911,3.0,2013,122,25.0,5,6.0,4.08,-1.90142,8,17,1,2,1
210,2816,6.0,2016,641,33.0,13,2.0,4.51,0.43829,5,16,1,1,0
211,771,6.0,2012,88,25.0,5,1.0,4.1,-0.64977,5,27,2,0,1
212,1164,3.0,2022,729,36.0,16,1.0,3.69,-2.19591,4,12,2,0,1
213,357,6.0,2006,370,25.0,5,6.0,4.5,0.51419,0,47,1,1,0
214,1055,0.0,2005,595,65.0,9,6.0,4.4,0.70059,4,41,3,0,1
215,1542,0.0,2013,724,46.0,9,6.0,4.72,0.80098,0,32,2,2,0
216,2566,0.0,2010,810,60.0,15,6.0,4.03,-1.18214,3,14,1,0,1
217,191,3.0,2008,140,34.0,13,6.0,5.0,2.26037,2,72,0,0,0
218,2354,6.0,2008,220,44.0,2,2.0,4.87,1.49572,0,48,0,0,0
219,984,2.0,2011,406,26.0,6,6.0,4.01,-0.38561,2,33,2,1,1
220,721,4.0,2013,773,67.0,13,6.0,4.95,0.92848,2,56,1,2,0
221,2903,1.0,2015,715,35.0,15,6.0,4.11,-0.17254,3,41,2,0,1
222,2838,3.0,2006,237,55.0,9,3.0,4.14,-0.11348,3,20,1,0,1
223,1548,1.0,2017,233,26.0,0,6.0,3.79,-1.32325,5,21,1,0,1
224,562,3.0,2016,666,47.0,12,6.0,4.92,1.14614,1,48,0,1,0
225,3,4.0,2011,264,22.0,2,0.0,4.19,-0.20396,3,16,1,0,1
226,279,2.0,2005,333,57.0,12,4.0,4.83,0.68687,6,24,2,0,0
227,2592,1.0,2020,353,44.0,19,3.0,4.81,1.54017,3,41,0,2,0
228,856,5.0,2016,865,52.0,16,3.0,5.0,0.07471,1,38,0,0,0
229,563,4.0,2015,636,31.0,0,6.0,4.28,0.19167,4,19,2,1,1
230,786,2.0,2019,143,67.0,6,6.0,3.83,-1.07876,3,21,3,0,1
231,2593,5.0,2010,49,27.0,7,5.0,4.97,1.42753,1,77,1,0,0
232,1735,0.0,2009,329,52.0,0,3.0,4.17,0.17720,4,24,0,2,1
233,2188,3.0,2006,166,30.0,7,5.0,4.62,0.05263,1,47,1,0,0
234,733,0.0,2005,504,36.0,8,6.0,4.44,0.13401,8,20,1,0,1
235,1807,1.0,2009,509,55.0,0,6.0,4.0,-0.80122,3,19,3,0,1
236,1706,2.0,2011,286,59.0,14,6.0,4.09,-1.19342,5,18,1,0,1
237,416,5.0,2017,213,23.0,3,4.0,4.23,-0.45746,5,27,5,0,1
238,2410,2.0,2012,608,44.0,0,6.0,4.0,-0.82890,1,18,1,0,1
239,1352,2.0,2017,815,43.0,5,6.0,4.8,0.61388,3,35,0,0,0
240,2135,5.0,2007,50,30.0,10,6.0,4.61,0.29140,3,26,0,0,0
241,527,5.0,2012,642,66.0,7,6.0,3.11,-2.67559,8,2,0,1,1
242,1565,2.0,2022,248,21.0,1,6.0,4.53,0.51244,2,32,5,0,1
243,1230,4.0,2007,898,51.0,10,3.0,4.64,1.09598,1,39,0,2,0
244,457,1.0,2017,838,40.0,15,1.0,4.69,1.01927,1,42,2,0,0
245,2913,3.0,2011,711,35.0,4,6.0,4.06,-1.34797,5,31,5,1,1
246,126,2.0,2013,280,45.0,1,6.0,3.64,-1.56408,3,18,3,2,1
247,2236,3.0,2012,421,37.0,6,2.0,4.85,0.16379,2,59,0,0,0
248,537,4.0,2010,134,62.0,6,2.0,4.19,-0.46890,4,23,1,1,1
249,181,3.0,2011,692,45.0,16,6.0,4.89,0.53177,4,40,1,1,0
250,1544,0.0,2013,504,55.0,16,5.0,5.0,2.61307,1,32,1,0,0
251,774,4.0,2017,734,31.0,11,6.0,4.32,0.41819,3,19,0,1,1
252,588,4.0,2013,511,57.0,7,5.0,5.0,0.66288,2,38,0,0,0
253,644,1.0,2018,468,59.0,14,6.0,4.27,-0.03707,6,23,3,1,1
254,2621,4.0,2014,394,26.0,3,6.0,4.17,-0.25905,2,15,1,0,1
255,2337,0.0,2018,97,63.0,17,6.0,4.77,0.70114,4,23,1,1,0
256,1733,3.0,2010,718,47.0,9,6.0,4.68,1.37764,4,33,0,0,0
257,872,3.0,2021,580,39.0,19,6.0,4.05,-1.05776,5,19,2,0,1
258,2088,3.0,2021,793,49.0,19,6.0,4.34,-0.51081,2,37,1,0,1
259,2563,1.0,2007,225,52.0,24,2.0,4.25,-1.21469,1,33,2,0,1
260,2813,6.0,2009,306,55.0,11,6.0,4.33,-0.85907,4,41,3,1,1
261,376,6.0,2005,764,41.0,5,0.0,4.6,1.14878,3,27,0,1,0
262,387,2.0,2005,707,55.0,10,0.0,4.56,0.14715,6,32,1,0,0
263,1531,5.0,2009,167,46.0,5,6.0,4.83,0.35909,1,39,0,1,0
264,2866,1.0,2008,143,36.0,1,6.0,4.19,-0.16084,2,8,1,0,1
265,1074,4.0,2019,695,30.0,10,3.0,4.6,-0.37896,1,15,1,0,1
266,2800,0.0,2007,729,26.0,6,5.0,4.44,-0.29782,3,30,1,1,0
267,1449,1.0,2008,261,45.0,17,4.0,4.38,-0.70308,4,24,3,2,1
268,152,3.0,2008,710,23.0,3,6.0,4.03,-1.14824,4,16,4,1,1
269,934,3.0,2011,122,55.0,23,3.0,4.48,0.56373,6,27,0,1,0
270,1039,2.0,2015,834,44.0,8,6.0,4.76,1.43410,3,15,0,1,0
271,424,0.0,2009,394,64.0,13,0.0,4.3,-0.66735,2,17,0,0,1
272,1741,4.0,2021,12,44.0,9,2.0,4.45,-0.73181,5,24,2,2,0
273,2154,2.0,2018,588,65.0,2,5.0,4.51,-0.34086,6,33,2,1,0
274,475,3.0,2014,299,48.0,13,2.0,4.13,-1.48744,2,11,2,2,1
275,1211,4.0,2021,213,29.0,9,4.0,4.34,0.18669,3,27,0,1,1
276,341,2.0,2005,372,22.0,2,6.0,3.76,-0.68345,6,17,5,1,1
277,1671,6.0,2022,312,62.0,12,6.0,4.9,1.93171,1,38,0,0,0
278,2308,6.0,2006,773,55.0,14,0.0,4.7,0.73792,3,36,1,0,0
279,2206,0.0,2018,630,60.0,14,6.0,4.58,-0.19754,0,40,0,0,0
280,1378,0.0,2007,294,59.0,19,6.0,5.0,2.59445,2,39,0,0,0
281,143,2.0,2013,478,37.0,13,6.0,4.36,-0.44265,1,26,0,0,0
282,1160,5.0,2014,304,47.0,9,6.0,5.0,1.61427,2,24,0,0,0
283,1460,2.0,2016,881,51.0,10,6.0,4.61,-0.04691,6,31,1,1,0
284,100,0.0,2007,677,25.0,5,6.0,4.1,-0.88684,4,19,3,1,1
285,427,5.0,2013,523,61.0,21,6.0,4.3,-0.15947,1,26,4,0,0
286,1484,5.0,2015,686,67.0,18,2.0,4.92,0.61925,2,32,1,0,0
287,1814,6.0,2008,791,63.0,13,6.0,4.5,-1.15232,4,16,1,0,1
288,2716,6.0,2015,703,60.0,11,5.0,3.83,-1.89356,3,21,3,1,1
289,735,3.0,2006,604,46.0,6,2.0,4.21,0.16970,3,23,2,1,1
290,803,5.0,2017,117,28.0,8,6.0,3.77,-0.53978,5,22,3,1,1
291,2461,5.0,2018,404,57.0,19,6.0,4.79,-0.12942,4,35,3,0,0
292,2824,0.0,2007,311,24.0,4,0.0,4.17,-0.10811,5,23,2,2,1
293,2962,4.0,2015,7,52.0,18,6.0,5.0,1.87968,0,69,0,0,0
294,808,1.0,2015,341,29.0,9,3.0,4.16,-1.01977,4,33,0,0,1
295,2269,2.0,2017,583,53.0,3,4.0,4.29,-1.47535,3,20,3,0,1
296,753,1.0,2007,138,61.0,10,3.0,5.0,1.95468,0,56,0,0,0
297,455,2.0,2017,671,47.0,8,6.0,4.89,1.12701,2,35,0,1,0
298,833,5.0,2007,438,58.0,19,5.0,5.0,1.82202,1,36,0,0,0
299,37,4.0,2011,723,23.0,3,4.0,4.37,-0.66848,1,25,2,0,1
300,1745,5.0,2017,860,46.0,5,0.0,4.2,-0.83419,2,22,0,1,1
301,1828,2.0,2019,590,40.0,13,5.0,3.77,-1.93128,3,10,1,0,1
302,1071,6.0,2014,897,32.0,11,6.0,4.63,0.15170,1,38,3,1,0
303,306,6.0,2020,115,50.0,2,6.0,4.68,0.77513,3,61,2,1,0
304,2120,2.0,2011,530,57.0,9,5.0,4.25,-0.30217,2,25,1,1,1
305,1145,0.0,2005,281,39.0,12,6.0,4.56,0.25571,2,56,2,1,0
306,747,5.0,2006,833,65.0,11,5.0,5.0,1.83621,1,53,1,0,0
307,1692,6.0,2008,401,26.0,6,0.0,4.59,0.38316,2,32,2,1,0
308,2075,0.0,2013,176,33.0,1,5.0,5.0,1.72956,1,45,1,0,0
309,1633,4.0,2019,98,47.0,3,6.0,4.69,0.63924,0,39,0,1,0
310,2894,4.0,2015,857,63.0,24,6.0,3.84,-0.84313,5,30,2,3,1
311,2571,1.0,2013,193,39.0,14,0.0,4.09,-1.68765,3,15,1,1,1
312,1239,1.0,2015,285,44.0,9,6.0,4.0,-0.79181,5,23,2,0,1
313,620,6.0,2009,484,58.0,15,0.0,4.08,-1.36294,3,19,2,1,1
314,2231,6.0,2014,771,66.0,7,1.0,4.53,-0.24140,0,49,2,0,0
315,581,1.0,2014,45,59.0,9,6.0,4.86,0.53966,1,37,2,0,0
316,1082,3.0,2006,693,25.0,5,6.0,4.4,-0.69196,5,24,1,0,1
317,2147,5.0,2006,255,34.0,6,6.0,4.08,-0.91681,3,22,1,2,1
318,72,4.0,2011,655,39.0,7,2.0,4.09,-0.26702,6,24,1,0,1
